
                  X               3d_v100     

                3.77275E+03        0.         
                3.77275E+03     -424.738E-12  
                3.77275E+03       -3.33092E-09
                3.77275E+03      -17.031E-09  
                3.77274E+03      -73.7654E-09 
                3.77272E+03     -290.893E-09  
                3.77264E+03       -1.08127E-06
                3.77237E+03       -3.86075E-06
                3.77145E+03      -13.3734E-06 
                3.76833E+03      -44.9592E-06 
                3.75814E+03     -144.374E-06  
                3.72578E+03     -376.972E-06  
                3.6444E+03      -468.861E-06  
                3.51153E+03     -489.36E-06   
                3.32483E+03     -591.039E-06  
                3.0868E+03      -783.293E-06  
                2.80392E+03       -1.07568E-03
                2.48581E+03       -1.47517E-03
                2.40214E+03       -1.5795E-03 
                2.3172E+03        -1.59709E-03
                2.2958E+03        -1.59035E-03
                2.27433E+03       -1.58416E-03
                2.24201E+03       -1.5936E-03 
                2.19332E+03       -1.6259E-03 
                2.11985E+03       -1.66897E-03
                2.00892E+03       -1.7309E-03 
                1.84182E+03       -1.83672E-03
                1.67518E+03       -1.95406E-03
                1.51051E+03       -2.0787E-03 
                1.46982E+03       -2.11157E-03
                1.45969E+03       -2.11983E-03
                1.44451E+03       -2.13291E-03
                1.42182E+03       -2.15999E-03
                1.38793E+03       -2.20176E-03
                1.33749E+03       -2.2654E-03 
                1.26276E+03       -2.35809E-03
                1.23506E+03       -2.39309E-03
                1.19386E+03       -2.44307E-03
                1.17852E+03       -2.4702E-03 
                1.15563E+03       -2.52897E-03
                1.12158E+03       -2.62402E-03
                1.1089E+03        -2.6617E-03 
                1.08997E+03       -2.71863E-03
                1.06179E+03       -2.80649E-03
                1.02002E+03       -2.9461E-03 
              958.542             -3.17622E-03
              935.87              -3.2681E-03 
              902.266             -3.41165E-03
              852.803             -3.63781E-03
              834.554             -3.72529E-03
              807.497             -3.85865E-03
              767.638             -4.0593E-03 
              709.539             -4.35687E-03
              688.29              -4.46443E-03
              656.982             -4.61955E-03
              611.319             -4.82944E-03
              594.605             -4.90222E-03
              569.961             -5.00179E-03
              560.853             -5.03805E-03
              547.328             -5.08937E-03
              527.352             -5.16108E-03
              498.098             -5.28172E-03
              487.35              -5.34364E-03
              477.383             -5.40616E-03
              468.506             -5.46616E-03
              465.199             -5.49207E-03
              461.582             -5.52123E-03
              457.191             -5.55308E-03
              451.963             -5.5959E-03 
              447.284             -5.63399E-03
              440.315             -5.6944E-03 
              429.971             -5.78654E-03
              414.701             -5.94753E-03
              409.052             -6.01581E-03
              400.657             -6.12139E-03
              388.242             -6.29832E-03
              370.021             -6.60584E-03
              343.599             -7.12811E-03
              333.973             -7.34806E-03
              319.824             -7.70423E-03
              299.254             -8.30708E-03
              291.743             -8.55674E-03
              280.684             -8.95477E-03
              264.563             -9.61312E-03
              241.434            -10.7468E-03 
              233.085            -11.2207E-03 
              220.894            -11.977E-03  
              216.425            -12.2754E-03 
              209.827            -12.7399E-03 
              200.164            -13.4775E-03 
              199.272            -13.5494E-03 
              196.975            -13.7373E-03 
              193.648            -14.0089E-03 
              189.931            -14.3227E-03 
              186.625            -14.619E-03  
              181.733            -15.0781E-03 
              174.549            -15.7929E-03 
              164.117            -16.9486E-03 
              160.311            -17.4039E-03 
              154.709            -18.1094E-03 
              153.415            -18.2804E-03 
              151.172            -18.5304E-03 
              148.419            -18.9042E-03 
              146.483            -19.1799E-03 
              143.611            -19.6027E-03 
              139.372            -20.2469E-03 
              133.171            -21.2634E-03 
              130.895            -21.6592E-03 
              127.529            -22.2683E-03 
              126.282            -22.4994E-03 
              124.479            -22.8397E-03 
              122.096            -23.2974E-03 
              120.401            -23.6448E-03 
              118.066            -24.1507E-03 
              116.808            -24.4217E-03 
              114.027            -25.0367E-03 
              112.318            -25.4282E-03 
              109.787            -26.029E-03  
              106.066            -26.9592E-03 
              100.652            -28.4205E-03 
               99.4122           -28.7788E-03 
               97.7386           -29.2727E-03 
               96.1777           -29.7347E-03 
               94.5148           -30.1996E-03 
               92.1178           -30.977E-03  
               90.7578           -31.4243E-03 
               88.7453           -32.1015E-03 
               85.7884           -33.1433E-03 
               84.6986           -33.5386E-03 
               83.0833           -34.1333E-03 
               82.2595           -34.4465E-03 
               80.7285           -35.028E-03  
               79.4361           -35.5464E-03 
               78.0469           -36.1128E-03 
               76.8125           -36.6251E-03 
               74.9889           -37.3891E-03 
               72.3165           -38.5499E-03 
               71.0083           -39.1416E-03 
               70.0395           -39.59E-03   
               68.3395           -40.3874E-03 
               67.5952           -40.7267E-03 
               65.9437           -41.3659E-03 
               65.0292           -41.8088E-03 
               64.0695           -42.2754E-03 
               62.6259           -43.0588E-03 
               60.8589           -44.0111E-03 
               59.3042           -44.9098E-03 
               58.3299           -45.4373E-03 
               57.1965           -46.0235E-03 
               56.0032           -46.8569E-03 
               55.1636           -47.4361E-03 
               53.6364           -48.5028E-03 
               52.8564           -49.0664E-03 
               52.1029           -49.6683E-03 
               50.9578           -50.6047E-03 
               50.1591           -51.1873E-03 
               49.2081           -52.0207E-03 
               48.2768           -52.8875E-03 
               47.2361           -53.8775E-03 
               46.2956           -54.7742E-03 
               45.3099           -55.7185E-03 
               44.6376           -56.3818E-03 
               43.6515           -57.399E-03  
               42.8541           -58.2592E-03 
               41.9053           -59.3218E-03 
               41.2942           -60.0323E-03 
               40.3446           -61.1686E-03 
