
                  X                 v113      

                4.71008E+03        0.         
                4.71008E+03      -66.0017E-09 
                4.70995E+03     -953.311E-09  
                4.70962E+03       -3.39068E-06
                4.70865E+03      -10.3422E-06 
                4.70687E+03      -23.1106E-06 
                4.70407E+03      -43.2766E-06 
                4.70002E+03      -72.3156E-06 
                4.69455E+03     -111.593E-06  
                4.68747E+03     -162.368E-06  
                4.67863E+03     -225.792E-06  
                4.66787E+03     -302.906E-06  
                4.65506E+03     -394.615E-06  
                4.64008E+03     -500.816E-06  
                4.62283E+03     -536.166E-06  
                4.6032E+03      -494.288E-06  
                4.5897E+03      -478.895E-06  
                4.57671E+03     -468.849E-06  
                4.56644E+03     -464.38E-06   
                4.55572E+03     -462.631E-06  
                4.53877E+03     -457.739E-06  
                4.52078E+03     -452.348E-06  
                4.50172E+03     -452.758E-06  
                4.47114E+03     -458.837E-06  
                4.43631E+03     -470.358E-06  
                4.39877E+03     -486.773E-06  
                4.35853E+03     -507.833E-06  
                4.31558E+03     -533.411E-06  
                4.26995E+03     -563.479E-06  
                4.22164E+03     -598.084E-06  
                4.1707E+03      -637.276E-06  
                4.11717E+03     -681.161E-06  
                4.06108E+03     -729.831E-06  
                4.0025E+03      -783.381E-06  
                3.9415E+03      -841.88E-06   
                3.87813E+03     -905.372E-06  
                3.81248E+03     -973.864E-06  
                3.74463E+03       -1.04733E-03
                3.67467E+03       -1.12568E-03
                3.60269E+03       -1.20881E-03
                3.5288E+03        -1.29657E-03
                3.49117E+03       -1.34214E-03
                3.41945E+03       -1.3909E-03 
                3.37571E+03       -1.29947E-03
                3.33147E+03       -1.24599E-03
                3.28674E+03       -1.25686E-03
                3.24156E+03       -1.27886E-03
                3.19595E+03       -1.29115E-03
                3.14991E+03       -1.29789E-03
                3.10349E+03       -1.30482E-03
                3.09182E+03       -1.30643E-03
                3.03611E+03       -1.31702E-03
                3.00955E+03       -1.32236E-03
                2.95613E+03       -1.33324E-03
                2.92927E+03       -1.3389E-03 
                2.8753E+03        -1.35079E-03
                2.821E+03         -1.36328E-03
                2.79373E+03       -1.36969E-03
                2.73901E+03       -1.38278E-03
                2.71155E+03       -1.38945E-03
                2.65648E+03       -1.40303E-03
                2.60123E+03       -1.4169E-03 
                2.57354E+03       -1.42395E-03
                2.51807E+03       -1.43826E-03
                2.49029E+03       -1.44553E-03
                2.43469E+03       -1.46029E-03
                2.40686E+03       -1.46778E-03
                2.3512E+03        -1.48297E-03
                2.29555E+03       -1.49845E-03
                2.26774E+03       -1.50629E-03
                2.22605E+03       -1.51821E-03
                2.18442E+03       -1.53018E-03
                2.14284E+03       -1.54229E-03
                2.09531E+03       -1.55646E-03
                2.05651E+03       -1.56809E-03
                2.01271E+03       -1.58136E-03
                1.97022E+03       -1.59443E-03
                1.92491E+03       -1.60856E-03
                1.88418E+03       -1.62138E-03
                1.84148E+03       -1.63504E-03
                1.79717E+03       -1.64936E-03
                1.75585E+03       -1.66285E-03
                1.71446E+03       -1.67645E-03
                1.67244E+03       -1.69041E-03
                1.62972E+03       -1.70465E-03
                1.58825E+03       -1.71858E-03
                1.5486E+03        -1.73202E-03
                1.5049E+03        -1.74691E-03
                1.46677E+03       -1.76004E-03
                1.42737E+03       -1.77372E-03
                1.38534E+03       -1.78838E-03
                1.34642E+03       -1.8021E-03 
                1.30892E+03       -1.81538E-03
                1.27096E+03       -1.82891E-03
                1.23327E+03       -1.84243E-03
                1.19318E+03       -1.85689E-03
                1.15815E+03       -1.86964E-03
                1.12134E+03       -1.88309E-03
                1.08456E+03       -1.89649E-03
                1.04977E+03       -1.90891E-03
                1.01492E+03       -1.92049E-03
              980.268             -1.93128E-03
              945.555             -1.94358E-03
              912.216             -1.95369E-03
              879.122             -1.9609E-03 
              847.064             -1.6568E-03 
              815.106             -1.76329E-03
              783.721             -1.83933E-03
              753.065             -1.76144E-03
              722.652             -1.71107E-03
              693.418             -2.12981E-03
              664.455             -2.05928E-03
              636.246             -1.96147E-03
              608.376             -1.93417E-03
              608.169             -1.93305E-03




