dV/V0,beta_1 (deg),beta_2 (deg),beta_3 (deg)
0,0,0,0
0.001762115,0.167065472,0.018787041,0.028605048
0.003524229,0.106208004,0.028193662,0.013945418
0.005286344,0.167065472,0.009405077,0.01466374
0.007048458,0.178946283,3.0806E-06,0.030049548
0.008810573,0.060124533,1.54005E-06,0.031448771
0.010572687,0.144767714,0.084547034,0.148011136
0.012334802,0.236842911,0.056402733,0.102638393
0.014096916,0.16780262,0.018797836,0.030049548
0.015859031,0.155184354,0.047019263,0.055008726
0.017621145,0.249470665,0.028206009,0.017540713
0.01938326,0.147700926,0.018799364,0.018981411
0.021145374,0.335684009,0.037594116,0.001428794
0.022907489,0.267407382,0.037594116,0.004640559
0.024669604,0.275500434,0.112763735,0.232252536
0.026431718,0.346793205,0.131779212,0.279332382
0.028193833,0.409344407,0.037645105,0.386827035
0.029955947,0.325340224,0.131759105,0.386827035
0.031718062,0.407769062,0.235224839,0.355045851
0.033480176,0.421233613,0.188235576,0.29320276
0.035242291,0.502834197,0.141106954,0.353434306
0.037004405,0.473463568,0.244750363,0.412079276
0.03876652,0.467987034,0.216541749,0.468213624
0.040528634,0.511480824,0.235373289,0.533605518
0.042290749,0.479069901,0.282272541,0.650996956
0.044052863,0.593749253,0.31991044,0.708784783
0.045814978,0.629348296,0.39575646,0.752782443
0.047577093,0.59539969,0.386271245,0.752782443
0.049339207,0.631013413,0.405179669,0.738117019
0.051101322,0.622467094,0.310797984,0.70430613
0.052863436,0.628516255,0.329424991,0.721650819
0.054625551,0.675125568,0.3857761,0.849830311
0.056387665,0.704775844,0.461124096,0.849830311
0.05814978,0.802378617,0.451568149,0.914071012
0.059911894,0.817748823,0.432613891,0.906040977
0.061674009,0.854297709,0.432613891,0.840765161
0.063436123,0.802378617,0.461049911,0.759259744
0.065198238,0.747261434,0.442373806,0.936705206
0.066960352,0.788764971,0.451713404,0.922072069
0.068722467,0.777752718,0.480100034,0.973671353
0.070484581,1.045351993,0.489592642,1.098631582
0.072246696,1.045351993,0.546436623,1.084000187
0.074008811,0.996110769,0.546436623,1.127892847
0.075770925,0.976923543,0.55522959,1.149092127
0.07753304,1.09184371,0.574421569,1.100621954
0.079295154,1.117411537,0.602183901,1.130901496
0.081057269,1.175740306,0.593062722,1.180316648
0.082819383,1.16955028,0.611592597,1.20103702
0.084581498,1.28117036,0.63040989,1.217714178
0.086343612,1.379124336,0.639197938,1.225156947
0.088105727,1.45642421,0.677013994,1.342003572
0.089867841,1.49789481,0.714507047,1.356828544
0.091629956,1.511803207,0.742708598,1.45614122
0.09339207,1.4877762,0.780057216,1.539542034
0.095154185,1.633703234,0.799499531,1.571016215
0.0969163,1.573254848,0.818309127,1.57436604
0.098678414,1.537606337,0.92220819,1.535982352
0.100440529,1.624333924,0.97818324,1.549725137
0.102202643,1.680479292,0.996504929,1.581081121
0.103964758,1.717088,1.045029456,1.563069643
0.105726872,1.829143318,0.950589165,1.609276418
0.107488987,1.919610354,0.932071634,1.727674703
0.109251101,1.856125239,0.922958363,1.75698637
0.111013216,1.946618524,0.940108742,1.855985986
0.11277533,2.02109361,1.072394428,1.855985986
0.114537445,2.094506289,1.091026619,1.895103686
0.116299559,2.108646244,1.099714019,2.01329795
0.118061674,2.084916516,1.157790553,2.063368558
0.119823789,2.082646057,1.16663081,2.125694584
0.121585903,2.277051202,1.194459033,2.209171063
0.123348018,2.381400328,1.242685746,2.334825454
0.125110132,2.37900837,1.270505707,2.334825454
0.126872247,2.477115175,1.280540209,2.197058309
0.128634361,2.49171675,1.309846733,2.280278684
0.130396476,2.668956506,1.449959316,2.366676058
0.13215859,2.540366679,1.495550854,2.362722214
0.133920705,2.712633085,1.461279083,2.357459817
0.135682819,2.699507559,1.515590431,2.479521815
0.137444934,2.770654794,1.562126303,2.46089902
0.139207048,2.845452071,1.67280597,2.462405411
0.140969163,2.9774164,1.674444147,2.59130841
0.142731278,3.0577249,1.654830172,2.584431386
