dV/V0,delta1 (%),delta2 (%),delta3(%),theta1 (deg),theta2 (deg),theta3(deg)
0,0,0,0,0,0,0
0.001758242,0.065644444,2.34E-03,0.011722222,0.005902497,0,0
0.003516484,0.007033333,0.004688889,0.025788889,0.005902497,0,0
0.005274725,0.004688889,2.34E-03,0.030477778,0.011742959,0,0
0.007032967,0.056266667,4.69E-03,0.030477778,0.011742959,0,0
0.008791209,0.002344444,0.004688889,0.032822222,0.011742959,0,0
0.010549451,0.009377778,0.016411111,0.032822222,0.011742959,0,0
0.012307692,0.056266667,0.0422,0.035166667,0.005779681,0,0
0.014065934,0.004688889,0.037511111,0.035166667,0.005779681,0,0
0.015824176,0.044544444,0.075022222,0.039855556,6.08E-05,0,0
0.017582418,0.009377778,0.030477778,0.039855556,0.000121601,0.022487194,0.003158163
0.019340659,0.030477778,0.037511111,0.044544444,0.000243152,0.022487194,0.003158163
0.021098901,0.035166667,0.039855556,0.044544444,6.08E-05,0.025393619,0.003158163
0.022857143,0.0211,0.009377778,0.009377778,0.005782075,0.022487194,0.017896697
0.024615385,0.0211,0.035166667,0.0422,0.000121651,0.017060393,0.023164806
0.026373626,0.023444444,0.032822222,0.0422,0.011867017,0.017060393,0.017896697
0.028131868,0.0211,0.028133333,0.0422,0.006025364,0.017060393,0.023164806
0.02989011,0.0211,0.011722222,0.044544444,0.006025364,0.017060393,0.016852624
0.031648352,0.0211,0.0211,0.044544444,0.005721839,0.017060393,0.016852624
0.033406593,0.0211,0.002344444,0.051577778,0.011566546,0.017060393,0.011583895
0.035164835,0.0211,0.023444444,0.058611111,0.011566546,0.017060393,0.00526877
0.036923077,0.0211,0.0211,0.056266667,0.011566546,0.017060393,0.014740586
0.038681319,0.0211,0.007033333,0.056266667,0.011566546,0.017060393,0.011583895
0.04043956,0.0211,0.014066667,0.082055556,0.011566546,0.017060393,0.011583895
0.042197802,0.0211,0.014066667,0.091433333,0.000243352,0.017060393,0.011583895
0.043956044,0.0211,0.014066667,0.091433333,0.005721839,0.005427165,0.011583895
0.045714286,0.0211,0.014066667,0.091433333,0.005661591,0.005427165,0.008426623
0.047472527,0.018755556,0.014066667,0.035166667,0.005420473,0.005427165,0.008426623
0.049230769,0.018755556,0.014066667,0.077366667,0.005420473,0.019190853,0.013695663
0.050989011,0.018755556,0.030477778,0.077366667,0.005420473,0.019190853,0.010538121
0.052747253,0.018755556,0.0211,0.065644444,0.02314268,0.019190853,0.00526877
0.054505495,0.018755556,0.014066667,0.070333333,0.02314268,0.019190853,0.013695663
0.056263736,0.018755556,0.014066667,0.070333333,0.02314268,0.019190853,0.008426623
0.058021978,0.023444444,0.014066667,0.070333333,0.02314268,0.019190853,0.026349659
0.05978022,0.028133333,0.011722222,0.070333333,0.02314268,0.019190853,0.021078565
0.061538462,0.028133333,0.011722222,0.070333333,0.02314268,0.019190853,0.021078565
0.063296703,0.025788889,0.007033333,0.060955556,0.02314268,0.019190853,0.021078565
0.065054945,0.025788889,0.004688889,0.075022222,0.02314268,0.019190853,0.017921064
0.066813187,0.025788889,0.007033333,0.077366667,0.02314268,0.019190853,0.007379998
0.068571429,0.025788889,0.011722222,0.077366667,0.02314268,0.019190853,0.007379998
0.07032967,0.025788889,0.016411111,0.075022222,0.02314268,0.004641305,0.004221294
0.072087912,0.025788889,0.014066667,0.103155556,0.023201151,0.02461673,0.007379998
0.073846154,0.032822222,0.046888889,0.098466667,0.00620976,0.025014531,0.007379998
0.075604396,0.032822222,0.070333333,0.121911111,0.006148282,0.00991438,0.006315745
0.077362637,0.032822222,0.067988889,0.121911111,0.000486905,0.014950695,0.022121935
0.079120879,0.072677778,0.093777778,0.082055556,0.012301622,0.025014531,0.008426623
0.080879121,0.091433333,0.103155556,0.082055556,0.018271709,0.017467753,0.008426623
0.082637363,0.091433333,0.103155556,0.091433333,0.012301622,0.017467753,0.008426623
0.084395604,0.100811111,0.103155556,0.093777778,0.018271709,0.017467753,0.008426623
0.086153846,0.119566667,0.103155556,0.089088889,0.00651734,0.020940407,0.008426623
0.087912088,0.107844444,0.100811111,0.0844,0.017294346,0.056829318,0.008426623
0.08967033,0.154733333,0.100811111,0.086744444,0.01096947,0.063661892,0.008426623
0.091428571,0.150044444,0.1055,0.086744444,0.022733044,0.061508819,0.01578501
0.093186813,0.154733333,0.1266,0.086744444,0.024623501,0.061508819,0.031588404
0.094945055,0.192244444,0.121911111,0.0844,0.000486905,0.061508819,0.024207178
0.096703297,0.208655556,0.119566667,0.0844,0.012239497,0.065168972,0.024207178
0.098461538,0.208655556,0.164111111,0.0844,0.029339299,0.073507889,0.028433494
0.10021978,0.203966667,0.180522222,0.0844,0.011268162,0.025987024,0.11893557
0.101978022,0.215688889,0.173488889,0.0844,0.031112802,0.02889676,0.052667718
