dV/V,Theta1 (deg),Theta2 (deg),Theta3 (deg),delta1 (scale=0.081),delta2 (scale=0.082),delta3(scale=0.087)
0,0,0,0,0,0,0
0.0021,0,0,0,0.0001428,0.0001312,0.000161111
0.0042,0,0,0.003169706,0.0000204,0.000240533,0.000161111
0.0063,0,0.01178717,0.0021901,0.0002448,0.0002624,0.000257778
0.0084,0.010025536,0.01178717,0.001959638,0.0004488,0.000284267,0.000322222
0.0105,0.003606881,0.009935096,0.006860631,0.0006732,0.0003936,0.000322222
0.0126,0.003606881,0.01178717,0.005880215,0.0008568,0.000546666,0.00058
0.0147,0.010344981,0.01178717,0.009050765,0.0010404,0.000809067,0.000547778
0.0168,0.006105773,0.01178717,0.009050765,0.001122,0.001202666,0.000547778
0.0189,0.009397112,0.005558743,0.003689814,0.0017136,0.001618133,0.000741111
0.021,0.013160035,0.001182673,0.006055021,0.002142,0.001858666,0.00058
0.0231,0.009554589,0.001182673,0.020824822,0.0022848,0.0019024,0.000547778
0.0252,0.002498254,0.001182673,0.005712815,0.0025092,0.001968,0.000418889
0.0273,0.011745476,0.009935096,0.036685463,0.0031008,0.001924267,0.000451111
0.0294,0.038764913,0.024917104,0.019088616,0.0031416,0.002121067,0.000418889
0.0315,0.029463854,0.018688651,0.023997168,0.003264,0.002339734,0.000386667
0.0336,0.022098316,0.016836843,0.015570853,0.003366,0.002667733,0.000354444
0.0357,0.041074396,0.01245965,0.024223471,0.0035292,0.003105067,0.000193333
0.0378,0.002973062,0.014316441,0.031773736,0.003366,0.003192533,3.22E-05
0.0399,0.018960711,0.016838721,0.024979204,0.0037332,0.003433067,0
0.042,0.008172224,0.020548745,0.01032584,0.0038148,0.003629866,0.000193333
0.0441,0.05987664,0.014316441,0.02596135,0.00408,0.003761067,0.000193333
0.0462,0.042946873,0.016836843,0.003345847,0.0043044,0.0037392,0.000128889
0.0483,0.046547369,0.001853481,0.01719717,0.004386,0.0038048,3.22E-05
0.0504,0.036205345,0.039899726,0.038203413,0.0046716,0.003914133,6.44E-05
0.0525,0.045014383,0.014984134,0.016215225,0.0048144,0.0040672,0.000128889
0.0546,0.055213028,0.007415622,0.009867966,0.0050184,0.004176534,3.22E-05
0.0567,0.047699309,0.048002888,0.070480442,0.0051204,0.0043296,0.000128889
0.0588,0.091068968,0.020403875,0.013566733,0.0052224,0.004504533,6.44E-05
0.0609,0.077559197,0.032350433,0.010107245,0.0052224,0.004613867,0.000225556
0.063,0.044860886,0.002012188,0.036323636,0.0055488,0.004876267,6.44E-05
0.0651,0.034040719,0.041637503,0.023091125,0.0057324,0.005248,0.000128889
0.0672,0.051151684,0.014687237,0.016285774,0.0059364,0.005466667,3.22E-05
0.0693,0.067955185,0.007063921,0.036323636,0.0059568,0.005597867,9.67E-05
0.0714,0.053688537,0.027292862,0.001386219,0.0062832,0.005729067,0.000161111
