dV/V0,Theta1 (deg),Theta2 (deg),Theta3 (deg),delta1 (%),delta2 (%),delta3(%)
0,0,0,0,0,0,0
0.008363636,0.003499651,3.38E-05,0.014982487,0.001083,0.00E+00,0.002547222
0.016727273,0.017019176,0.013180639,0.002151423,0.002406667,0,0.004075556
0.025090909,0.046330605,0.016880073,0.008563276,0.003890778,4.72E-05,0.004839722
0.033454545,0.041393368,0.008675369,0.010709087,0.005735889,0.00E+00,0.006295278
0.041818182,0.049125067,0.007732654,0.002150141,0.006217222,0.000236111,0.007568889
0.050181818,0.060648203,0.007097787,0.010721899,0.009025,0.001086111,0.008296667
0.058545455,0.046817523,0.001756306,0.008576956,0.008503556,0.006091667,0.009279167
0.066909091,0.058124985,0.011409964,0.006431694,0.009706889,0.009680556,0.010334444
0.075272727,0.039518136,0.000433545,0.017128386,0.012996,0.012325,0.011826389
0.083636364,0.051099391,0.008720416,0.023556803,0.013958667,0.012513889,0.012699722
0.092,0.057632296,0.003236474,0.040699034,0.015322444,0.013552778,0.013936944
0.100363636,0.082237025,0.007064988,0.03428312,0.018411,0.015630556,0.015465278
0.108727273,0.091132576,0.008123567,0.057852158,0.018290667,0.016716667,0.016738889
0.117090909,0.13502981,0.002409587,0.053573177,0.020296222,0.017708333,0.017757778
0.125454545,0.130482342,7.65E-05,0.057877179,0.021339111,0.018888889,0.0199775
0.133818182,0.144187127,0.010772181,0.090069372,0.023465,0.020258333,0.021105556
0.142181818,0.167356539,0.00583078,0.111474704,0.023745778,0.022194444,0.022415556
0.150545455,0.22836513,0.017978816,0.135096929,0.025992,0.023563889,0.024089444
0.158909091,0.26656314,0.008073637,0.184409605,0.027756889,0.025311111,0.025581389
0.167272727,0.298393388,0.010104512,0.21021916,0.028559111,0.027011111,0.02751
0.175636364,0.334899658,0.015086369,0.276802266,0.030524556,0.029466667,0.0291475
0.184,0.439055945,0.02339233,0.375552471,0.032088889,0.031166667,0.031185278
0.192363636,0.520149291,0.012796047,0.599224601,0.033573,0.032913889,0.032822778
0.200727273,0.718671397,0.023217366,1.026070205,0.036019778,0.035180556,0.035551944
0.209090909,1.003811838,0.026989965,1.820455916,0.039028111,0.036927778,0.038281111
