Test #,4f_s0,4f_s2,4f_s3,4f_s0,4f_s2,4f_s3,4f_s0,4f_s2,4f_s3
Delta V normalized,Contraction delta/H,Contraction delta/H,Contraction delta/H,rotation angle (deg),rotation angle (deg),rotation angle (deg),bending angle (deg),bending angle (deg),bending angle (deg)
0,0,0,0,0,0,0,0,0,0.279497634
0.066666667,0.005691057,0.030068729,0.01065449,0.535202545,0.511868075,0.444593038,1.600071905,0,0.264041769
0.133333333,0.017073171,0.024054983,0.026636225,0.424898725,0.737048623,6.64E-01,0.69448077,0.295345164,0.530516963
0.2,0.045528455,0.036082474,0.03196347,0.355809899,0.661429601,2.80E-01,0.347253138,1.468844034,0.80318294
0.266666667,0.062601626,0.078178694,0.058599696,4.04981161,3.274816051,3.61E+00,0.358104521,1.484058444,1.370491437
0.333333333,0.091056911,0.102233677,0.095890411,8.750427902,8.627542375,8.29E+00,3.252041511,6.307277952,3.509130082
0.4,0.130894309,0.156357388,1.39E-01,12.519582,10.76763871,12.28665,4.041475048,9.762062683,6.710034704
0.466666667,0.170731707,0.2104811,1.97E-01,16.50862079,14.47378051,17.30530706,6.372299332,13.96375994,9.508366026
0.533333333,0.227642276,0.282646048,0.239726027,21.59737971,15.09449526,22.72311297,8.397550252,18.04835336,12.71571201
0.6,0.278861789,0.354810997,0.287671233,27.42082743,22.57095921,28.18722914,11.15125405,23.77304994,16.59348287
0.666666667,0.347154472,0.420962199,0.356925419,32.18755168,28.26087236,34.10458149,14.10176818,25.36115888,16.37063371
0.733333333,0.409756098,0.481099656,0.410197869,39.627173,33.90504709,40.11919358,14.10176818,24.1742907,15.94586619
0.8,0.483739837,0.511168385,0.479452055,44.15395908,41.06228611,46.00929339,9.240174337,16.64258219,13.95075426
0.866666667,0.580487805,0.60137457,0.559360731,49.10195372,45.63169896,52.14049115,8.939828662,12.01183265,12.36285703
0.933333333,0.677235772,0.667525773,0.644596651,51.57013607,49.37391427,56.13515185,4.32777584,3.485893991,9.329814803
1,0.745528455,0.72766323,0.724505327,54.91335071,50.95728264,59.7811807,0.609524553,0,1.357505881
