beta2(deg),beta3_1(deg),beta3_2(deg),p_avervage (kpa)
0,0,1.58E-30,-0.370
0,0,0.002500639,-0.175
0,0,0.004606578,-0.392
0,0,0.006025397,-0.111
0,0,0.00665616,-0.241
0,0,0.006134732,-0.002
0,0,0.005571519,-0.262
0,0,0.005627462,-0.025
0,0,0.006804847,-0.305
-0.000113316,0,0.010092293,-0.197
-0.000168446,0,0.014003681,-0.305
-0.000128686,0,0.017638554,-0.307
1.70E-14,0,0.020123147,-0.218
0.00052752,-0.000122119,0.020000524,-0.110
0.000812223,-0.000181532,0.018442891,-0.067
0.000646414,-0.000138684,0.016100237,0.021
-5.65E-15,1.83E-14,0.013762281,-0.067
-0.00165217,0.00039464,0.012803669,-0.262
-0.002733348,0.000616873,0.012625608,-0.110
-0.002386884,0.000499187,0.013055419,-0.113
1.70E-14,1.99E-14,0.013762281,0.041
0.005580379,-0.001351134,0.013990718,-0.046
0.012423296,-0.002264357,0.01405164,-0.328
0.019268214,-0.00201205,0.013951337,-0.045
0.024853625,6.65E-14,0.013762281,-0.088
0.027235477,0.00500736,0.013558404,-0.132
0.027579941,0.011560703,0.013466979,-0.326
0.026500762,0.018997382,0.013542601,-0.044
0.024853625,0.026784514,0.013762281,-0.370
0.024202178,0.033475206,0.014584694,-0.112
0.02403437,0.04131583,0.015004318,0.108
0.024321072,0.051471286,0.014693231,-0.088
0.024853625,0.064918252,0.013612752,-0.199
0.024977278,0.082930925,0.010884895,-0.197
0.025015039,0.103864092,0.009119611,-0.371
0.024961908,0.126261026,0.00970671,-0.219
0.024853625,0.148263618,0.013612752,-0.088
0.024848592,0.167505539,0.022699362,-0.112
0.024846593,0.183118222,0.033674018,-0.198
0.024848592,0.194321622,0.044377885,-0.284
0.024853625,0.201033367,0.052674603,-0.176
0.024848592,0.203912669,0.055248979,-0.284
0.024846593,0.204275523,0.05420107,-0.132
0.024848592,0.203941582,0.050660081,-0.284
0.024853625,0.204968313,0.046164381,-0.154
0.024848592,0.208652738,0.043536349,-0.023
0.024846593,0.217646465,0.041833701,-0.089
0.024848592,0.233130638,0.041039987,-0.284
0.024853625,0.255181059,0.040874985,-0.242
0.024848592,0.283960871,0.039922813,-0.131
0.024846593,0.315221071,0.039584375,-0.109
0.024848592,0.345550819,0.040220378,-0.391
0.024853625,0.371819513,0.04209807,-0.328
0.024848592,0.389911126,0.046397441,-0.131
0.024846593,0.402096474,0.051251067,-0.174
0.024848592,0.409877888,0.055918395,-0.067
0.024853625,0.415430128,0.059958663,-0.176
0.024848592,0.422151203,0.061500498,-0.112
0.024846593,0.429955759,0.064144173,-0.328
0.024848592,0.439282575,0.069629739,-0.198
0.024853625,0.449924684,0.079186013,-0.414
0.0247961,0.460849729,0.09556467,-0.198
0.024768563,0.471671702,0.113973255,-0.349
0.02478898,0.481638106,0.131541307,-0.045
0.024853625,0.490196664,0.145623484,-0.197
0.024711163,0.49598495,0.151944531,-0.176
0.024655298,0.50102737,0.154408149,-0.241
0.024714451,0.506338669,0.155416104,-0.263
0.024853625,0.512739231,0.157828609,-0.111
0.025885965,0.522050973,0.165434874,-0.348
0.026354703,0.531715745,0.177882339,-0.435
0.025949646,0.540389476,0.194928737,-0.458
0.024853625,0.54691674,0.215245938,-0.198
0.021689365,0.54880861,0.23729523,-0.241
0.021121756,0.549427908,0.257751271,-0.304
0.02551991,0.55072594,0.27416652,-0.545
0.036366723,0.554687595,0.28503437,-0.198
0.056719854,0.563618755,0.287262034,-0.392
0.080230403,0.576854125,0.286699742,-0.286
0.102698574,0.593627612,0.286897825,-0.434
0.1201063,0.612405037,0.29099273,-0.306
