p [kPa],Beta1 (deg),Beta2 (deg)
0,0,0
0.0038,0.014655339,0
0.0075,0.027814832,0.011336599
0.0113,0.039486982,0.011336599
0.0150,0.051009214,0.051239369
0.0188,0.051009214,0.041452839
0.0225,0.051009214,0.018776769
0.0263,0.081728544,0.018776769
0.0300,0.122444214,0.039854259
0.0338,0.122444214,0.031667587
0.0375,0.099176589,0.021898265
0.0413,0.087509645,0.021898265
0.0450,0.154542355,0.022684805
0.0488,0.113571331,0.022684805
0.0525,0.179309406,0.043012988
0.0563,0.161810935,0.043012988
0.0601,0.188058409,0.060952356
0.0638,0.188058409,0.060952356
0.0676,0.208468668,0.059367013
0.0713,0.195321082,0.060159539
0.0751,0.295870261,0.081252606
0.0788,0.209974363,0.081252606
0.0826,0.250738262,0.073091341
0.0863,0.25218063,0.073091341
0.0901,0.300340334,0.073886968
0.0938,0.390549392,0.083643523
0.0976,0.364457164,0.115298302
0.1013,0.35709522,0.104747004
0.1051,0.354247659,0.093396213
0.1088,0.359940753,0.093396213
0.1126,0.384877693,0.09259731
0.1163,0.384877693,0.10314504
0.1201,0.414098447,0.124239617
0.1239,0.414098447,0.124239617
0.1276,0.42431277,0.169676671
0.1314,0.466579992,0.169676671
0.1351,0.484207435,0.190783122
0.1389,0.49302652,0.202155308
0.1426,0.510237189,0.211067328
0.1464,0.53205731,0.200516787
0.1501,0.500024216,0.222440539
0.1539,0.500024216,0.211067328
0.1576,0.542269988,0.241064379
0.1614,0.542269988,0.241064379
0.1651,0.552483161,0.241890604
0.1689,0.584508902,0.231342903
0.1726,0.609072204,0.251609847
0.1764,0.625365304,0.262985095
0.1802,0.626740915,0.288252682
0.1839,0.626740915,0.288252682
0.1877,0.629490666,0.297971098
0.1914,0.610449916,0.286582031
0.1952,0.693484144,0.328788034
0.1989,0.703693462,0.301821054
0.2027,0.724113552,0.371839689
0.2064,0.74588909,0.371839689
0.2102,0.779995164,0.349889176
0.2139,0.780777078,0.349889176
0.2177,0.768424268,0.361287968
0.2214,0.758202618,0.373541866
0.2252,0.77247449,0.321602718
0.2289,0.795599071,0.321602718
0.2327,0.835120611,0.373541866
0.2364,0.832443396,0.375245298
0.2402,0.833782242,0.410611979
0.2440,0.835120611,0.400924692
0.2477,0.897761945,0.434281216
0.2515,0.893779094,0.434281216
0.2552,0.952495794,0.464188006
0.2590,0.952495794,0.464188006
0.2627,0.946224339,0.508107601
0.2665,0.957766041,0.508107601
0.2702,0.999972149,0.504608038
0.2740,0.99760523,0.504608038
0.2777,1.012809181,0.540624139
