test,sample0,sample0,sample1,sample1,sample2,sample2,R=9mm,H=45mm,t=1.2mm,flow=1.2ml/min
dv (ml),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),,,,
0,0.003392418,-0.026320913,0.013112352,0.059316968,0.143471153,-0.042852164,,,,
0.000666667,0.059483217,0.100725698,0.069090121,0.113722304,0.143471153,-0.014849172,,,,
0.001333333,0.057728726,-0.054352162,0.0858606,0.056005984,0.059419813,-0.014849172,,,,
0.002,0,-0.024635436,-0.011371085,0.057659806,0.059419813,0.014864156,,,,
0.002666667,0.059483217,0.029741586,0.003537272,0,0.044542397,0.072697076,,,,
0.003333333,0.044589904,0.059543256,0.029798101,-0.054465192,0.087436926,0.042895406,,,,
0.004,0.061241255,0.041129451,0.042908651,0.003197841,0.029679972,0.041156812,,,,
0.004666667,0.074391574,-0.054352162,-0.04114269,0.001597307,0.003385586,0.070926655,,,,
0.005333333,0.044589904,0.044634899,-0.029738084,-0.054465192,0.098756888,-6.92E-02,,,,
0.006,0.029711612,0.041129451,0.028002992,0,0.117265104,0.085834118,,,,
0.006666667,-0.039503844,0.044634899,0.087715964,-0.054465192,0.059419813,-0.013167093,,,,
0.007333333,0.033167513,-0.009754548,0,0.087376532,0.005083505,-0.011481616,,,,
0.008,0.074391574,0.059543256,0.003537272,-0.054465192,0.029679972,0,,,,
0.008666667,-0.009787117,0.029741586,-0.082326897,0.029628556,0.044542397,-0.057672268,,,,
0.009333333,0.059483217,-0.01315382,-0.067461884,0.085691055,0.11545404,0,,,,
0.01,0.044589904,-0.052695,0.098942878,0,0.029679972,0.044637512,,,,
0.010666667,0.044589904,0.059543256,-0.011371085,-0.026433943,0.113646626,-0.03954118,,,,
0.011333333,-0.009787117,-0.041170933,-0.04114269,0.029628556,0.059419813,-0.03954118,,,,
0.012,0.102451138,0.014863294,0.042908651,0,0.033128905,-0.069229592,,,,
0.012666667,0.072621154,-0.014848318,0.087715964,0.028002992,0.113646626,-0.057672268,,,,
0.013333333,-0.011472595,0.031483692,0.0596564,0.059316968,0.076082662,-0.069229592,,,,
0.014,0.057728726,-0.138445911,-0.070854302,0.003197841,0.003385586,0.016577948,,,,
0.014666667,0.089314998,-0.112011968,-0.069159804,-0.026433943,-0.024631528,-0.085661152,,,,
0.015333333,0.061241255,0,-0.039416484,0.003197841,0.003385586,0.01315382,,,,
0.016,0.003392418,0.029741586,-0.070854302,0.072510669,0.044542397,-0.098858148,,,,
0.016666667,-0.067535094,0.029741586,-0.029738084,-0.024861723,0.031402699,-0.024674471,,,,
0.017333333,-0.037846681,-0.028002992,-0.052581856,0.085691055,0.089219704,-0.125292091,,,,
0.018,-0.039503844,-0.009754548,0.014891537,-0.082496441,0.033128905,-0.024674471,,,,
0.018666667,-0.024652981,0.029741586,-0.024522292,0.046109935,-0.024631528,-0.03954118,,,,
0.019333333,-0.009787117,0,0.070925764,0.085691055,0.085657741,-0.054392879,,,,
0.02,0.072621154,-0.084008976,0.029798101,0.057659806,0.11545404,-0.095660308,,,,
0.020666667,0.074391574,-0.026320913,-0.069159804,0,0.104142226,-0.024674471,,,,
0.021333333,-0.013154674,0.018319195,-0.026264398,0.001597307,0.057668856,-0.069229592,,,,
0.022,0.027988885,-0.069188047,-0.082326897,-0.066185036,0.031402699,-0.098858148,,,,
0.022666667,-0.067535094,-0.069188047,-0.125194031,0.029628556,-0.092274722,-0.12686114,,,,
0.023333333,-0.011472595,-0.082383412,-0.052581856,0.029628556,-0.179481539,-0.011481616,,,,
0.024,0.018272447,-0.052695,-0.04114269,0.003197841,-0.009781508,-0.097260841,,,,
0.024666667,-0.067535094,-0.054352162,-0.013125577,0.018036192,-0.024631528,-0.052748214,,,,
0.025333333,-0.009787117,-0.042837203,0.003537272,-0.014791889,-0.136699982,-0.113650037,,,,
0.026,-0.052698381,-0.028002992,-0.04114269,-0.026433943,-0.095472563,-0.136969442,,,,
0.026666667,-0.051053715,-0.0114559,-0.08064142,-0.010037551,-0.052648642,-0.151779436,,,,
0.027333333,0.04285131,-0.080754563,-0.113662459,0.044465269,-0.051007294,-0.18135459,,,,
0.028,-0.037846681,-0.069188047,-0.013125577,-0.109040415,-0.026297797,-0.123719872,,,,
0.028666667,-0.095566343,-0.154792741,-0.069159804,-0.028002992,-0.092274722,-0.125292091,,,,
0.029333333,0.044589904,-0.054352162,-0.113662459,-0.082496441,-0.110264451,-0.097260841,,,,
0.03,-0.069160658,-0.098814972,-0.136760547,-0.112011968,-0.176453414,-0.123719872,,,,
0.030666667,0.018272447,-0.125222274,-0.153211144,-0.097261647,-0.176453414,-0.113650037,,,,
0.031333333,-0.011472595,-0.084008976,-0.04114269,-0.052921287,-0.138253336,-0.179838999,,,,
0.032,0.018272447,-0.168017952,-0.069159804,-0.112011968,-0.220751323,-0.138529078,,,,
0.032666667,-0.111955538,-0.21077051,-0.182809841,-0.16659019,-0.153016235,-0.182867124,,,,
0.033333333,-0.093965809,-0.082383412,-0.069159804,-0.194621439,-0.108682869,-0.123719872,,,,
0.034,-0.026322615,-0.250570908,-0.194451894,-0.194621439,-0.176453414,-0.209385839,,,,
0.034666667,-0.069160658,-0.221052383,-0.082326897,-0.13855894,-0.135143492,-0.098858148,,,,
0.035333333,0.031437818,-0.168017952,-0.181228258,-0.153295874,-0.16624222,-0.123719872,,,,
0.036,-0.067535094,-0.224023936,-0.166420645,-0.182725196,-0.219279691,-0.18135459,,,,
0.036666667,0.031437818,-0.194508409,-0.070854302,-0.165159543,-0.220751323,-0.18135459,,,,
0.037333333,-0.013154674,-0.221052383,-0.14001496,-0.137099979,-0.232572542,-0.110483678,,,,
0.038,-0.011472595,-0.26674828,-0.153211144,-0.14001496,-0.16624222,-0.125292091,,,,
0.038666667,-0.067535094,-0.306633407,-0.181228258,-0.137099979,-0.232572542,-0.209385839,,,,
0.039333333,-0.093965809,-0.206270747,-0.153211144,-0.196020944,-0.194231105,-0.22119067,,,,
