test,sample1,sample1,sample2,sample3,sample3,R=10mm,H=26.7mm,t=0.56mm,flow=0.6ml/min
dv (ml),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),,,,
0,0.027988885,0.059433499,0.014863294,-0.003696522,-0.097124998,,,,
0.000333333,0.102592497,0.098929633,0,-0.00183265,0.001904514,,,,
0.000666667,0.069062823,0.029686748,0.113835334,0.067242424,0.031821324,,,,
0.001,-0.011387865,0.014835885,0.028002992,-0.013059564,-0.052399904,,,,
0.001333333,0.057785183,0.029686748,0.07446668,0.013116321,-0.052399904,,,,
0.001666667,0.001750956,-0.014820929,0.056005984,0.058053881,-0.027951949,,,,
0.002,0.003505448,0.041185055,-0.042837203,0.026184463,0.013148376,,,,
0.002333333,0.087641647,-0.054449451,0.07446668,0.013116321,-0.013031249,,,,
0.002666667,0.003505448,-0.013195365,0.056005984,0.067242424,6.52E-05,,,,
0.003,0.113819411,-0.041226614,-0.024635436,0.001906396,0.086040713,,,,
0.003333333,0.111955538,-0.024787729,0,0.04114757,0.029949914,,,,
0.003666667,0.042879525,-0.029626925,-0.009754548,0.06917882,0.013148376,,,,
0.004,0.087641647,-0.011566517,-0.028002992,0.04114757,-0.042857608,,,,
0.004333333,0,-0.013195365,-0.028002992,-0.013059564,-0.026140885,,,,
0.004666667,0.003505448,0.069188047,0.029741586,-0.042946178,0.015,,,,
0.005,0.041088032,-0.028017114,0.057772835,0.058053881,0.015,,,,
0.005333333,0.057785183,-0.042823921,0.085804085,0.043059564,0.041151368,,,,
0.005666667,0.057785183,0.085777547,-0.028002992,0.04114757,0.041151368,,,,
0.006,0,0.041185055,0.057772835,-0.044769544,0.029949914,,,,
0.006333333,0.087641647,-0.03962608,0.059543256,-0.031685407,0.013148376,,,,
0.006666667,0.111955538,-0.00163804,0.018319195,0.04114757,-0.026140885,,,,
0.007,0.085802297,0.029686748,0.07446668,0.071119128,-0.026140885,,,,
0.007333333,-0.026266157,0.016493047,0.014863294,0.056125784,-0.082231684,,,,
0.007666667,-0.041129451,0.069188047,0.018319195,-0.00183265,0.016855364,,,,
0.008,-0.026266157,0.041185055,0.046392937,0.04114757,0.043031249,,,,
0.008333333,0.057785183,-0.041226614,-0.009754548,0.01123644,0.001904514,,,,
0.008666667,0.087641647,-0.024787729,0.0165895,0.04114757,-0.0708606,,,,
0.009,-0.041129451,0.085777547,0.070897521,-0.042946178,-0.080473646,,,,
0.009333333,0.042879525,0.016493047,-0.028002992,-0.026167347,-0.0708606,,,,
0.009666667,0.01311324,0.044552611,-0.037828291,-0.044769544,-0.095382891,,,,
0.01,0.057785183,-0.026404052,-0.041170933,-0.044769544,-0.026140885,,,,
0.010333333,0,-0.014820929,-0.052695,0.043059564,-0.082231684,,,,
0.010666667,0.018413805,-0.042823921,0.029741586,-0.069178692,-0.054186285,,,,
0.011,-0.026266157,-0.054449451,-0.028002992,-0.042946178,-0.014854616,,,,
0.011333333,0.085802297,-0.042823921,0.029741586,0.015,-0.041062499,,,,
0.011666667,0.042879525,-0.013195365,0.003424128,0.001906396,0.001904514,,,,
0.012,0.057785183,0.041185055,-0.028002992,-0.013059564,-0.110277084,,,,
0.012333333,0.085802297,-0.069257864,0,-0.070977427,-0.095382891,,,,
0.012666667,0.042879525,0.014835885,-0.028002992,-0.013059564,-0.110277084,,,,
0.013,0.087641647,0.070898383,0.029741586,-0.041119128,-0.069093748,,,,
0.013333333,0.001750956,-0.011566517,0.014863294,-0.100775528,-0.024326161,,,,
0.013666667,0.057785183,-0.03962608,0.028002992,-0.100775528,-0.054186285,,,,
0.014,0.027988885,-0.069257864,-0.028002992,-0.042946178,-0.110277084,,,,
