Test ,20220705_1515_4folds_sample2,20220705_1518_4folds_sample2,20220705_1521_4folds_sample2,20220705_1526_4folds_sample0,20220705_1529_4folds_sample0,20220705_1531_4folds_sample0,20220705_1548_4folds_sample3_metadata,20220705_1550_4folds_sample3
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0,-0.003481445,-0.190568602,-0.32114157,0.197391481,0.134069352,0.387628205,-0.003736922,0.063391525
0.002888889,0.063453704,0.524642743,-0.13039061,-0.451405714,0.197391481,0.52156244,-0.327517486,-0.126974952
0.005777778,-0.200608387,0.01004983,-0.330796872,-0.193780349,0,-0.003149495,-0.130324889,-0.384794593
0.008666667,-0.32456227,-0.126981699,-0.133802858,-0.193780349,-0.263992966,0.133678107,-0.193714627,-0.19384607
0.011555556,-0.133806334,0.070212618,-0.39117183,0.126587967,-0.197192597,-0.191146085,0.007496492,-0.321080825
0.014444444,0.067004485,0.461384448,0.063389739,-0.327451831,-0.063389739,0.320762246,-0.324105237,0.006969924
0.017333333,0.067004485,-0.126981699,-0.13039061,-0.457711064,-0.324170959,0.320762246,-0.521299554,-0.19384607
0.020222222,-0.006955879,0.200603228,-0.059965226,-0.193780349,-0.193780349,-0.197062874,-0.193714627,-0.197126942
0.023111111,0.067004485,-0.25421967,-0.257493723,0.06332587,-0.324170959,0.133678107,-0.059641595,0.06693515
0.026,-0.006955879,0.200603228,-0.39117183,-0.130324889,-0.454561568,0.190568602,-0.133930566,-0.19384607
0.028888889,-0.063517767,0.33467626,-0.200603228,0.126587967,0.070683293,0.39472261,-0.130324889,-0.45462729
0.031777778,-0.267343168,0.263992966,-0.257493723,0.007233208,-0.193780349,0.13039061,0.138084664,-0.003474433
0.034666667,-0.127099694,0.06339499,-0.197260038,0.130324889,-0.19036121,0.003155855,-0.457776719,-0.263861722
0.037555556,-0.388276038,-0.060177992,0.063389739,-0.454561568,-0.320883462,0.13039061,-0.193714627,-0.263861722
0.040444444,-0.194040019,0.390580933,-0.26078122,-0.324170959,-0.454561568,-0.060557913,-0.193714627,-0.327386175
0.043333333,-0.388276038,-0.063458864,-0.460990516,-0.31758932,-0.976124008,0.32423668,-0.320686099,-0.45462729
0.046222222,-0.197327515,0.073631756,-0.591184161,-0.845733398,-0.320883462,-0.13039061,-0.324105237,-0.19384607
