test,sample1,sample2,sample2,sample3,sample3,R=10mm,H=18mm,t=0.56mm,flow=0.6ml/min
dv (ml),p (kpa),p (kpa),p (kpa),p (kpa),p (kpa),,,,
0,-0.069175568,0.039400311,0.037803004,-0.024766011,-0.029603469,,,,
0.000333333,-0.036517204,0.009800012,0.027765453,-0.095651073,0.084178692,,,,
0.000666667,-0.024839853,0.097119972,-0.015118283,-0.024766011,0.080867707,,,,
0.001,0.047704024,0.123494059,0.069060409,0.072536424,0.02645903,,,,
0.001333333,0.00159409,-0.044693437,0.09546281,-0.039588574,0.153463191,,,,
0.001666667,-0.051327198,-0.029913325,0.069060409,0.014820103,0.028059564,,,,
0.002,0.044418011,0.078988885,0.123494059,-0.123682322,0.069326992,,,,
0.002333333,-0.026408902,-0.031441529,0.111986681,-0.123682322,0.080867707,,,,
0.002666667,0.029597082,0.039400311,0.011369061,0.014820103,0.02645903,,,,
0.003,-0.054411894,0.080626925,-0.016662188,0.016473925,0.070971658,,,,
0.003333333,-0.080902352,0.023011115,0.054222874,0.018131088,0.024861723,,,,
0.003666667,0.031222646,0.054222874,-0.016662188,0.032997797,0.084178692,,,,
0.004,-0.095667557,0.012941281,0.039400311,-0.009928476,-0.029603469,,,,
0.004333333,-0.110417878,0.051,0.009800012,-0.095651073,0.041281593,,,,
0.004666667,0.016400897,-0.015118283,0.083912939,-0.039588574,0.024861723,,,,
0.005,-0.026408902,-0.004977769,-0.000308289,0.004924054,0.052864715,,,,
0.005333333,-0.024839853,0.051,0.039400311,0.087415587,0.042897915,,,,
0.005666667,-0.080902352,-0.044693437,0.123494059,-0.009928476,-0.029603469,,,,
0.006,0.00159409,-0.015118283,-0.015118283,-0.095651073,0.080867707,,,,
0.006333333,0.029597082,0.080626925,-0.016662188,-0.10890221,0.02645903,,,,
0.006666667,-0.051327198,0.011369061,-0.000308289,-0.054396187,0.02645903,,,,
0.007,-0.067650444,0.011369061,0.039400311,-0.10890221,0.041281593,,,,
0.007333333,0.059253895,0.024592698,0.009800012,-0.03798804,-0.003141269,,,,
0.007666667,-0.080902352,0.069060409,0.027765453,0.072536424,0.052864715,,,,
0.008,0.00479193,0.039400311,0.065805996,-0.069188873,-0.042854606,,,,
0.008333333,0.059253895,0.011369061,0.037803004,-0.011557324,0.014824173,,,,
0.008666667,0.029597082,0.065805996,0.108644039,-0.009928476,0.069326992,,,,
0.009,-0.024839853,0.06743156,0.093808988,-0.123682322,-0.01324957,,,,
0.009333333,-0.066122239,0.026177474,0.026177474,0.032997797,0.024861723,,,,
0.009666667,0.029597082,0.06743156,0.039400311,-0.039588574,0.05449028,,,,
0.01,-0.052871102,0.065805996,0.027765453,-0.013182889,0.02645903,,,,
0.010333333,-0.024839853,0.024592698,0.039400311,-0.123682322,-0.057634718,,,,
0.010666667,-0.013197799,0.039400311,0.110313673,0.019791602,0.069326992,,,,
0.011,0.00479193,0.080626925,0.108644039,-0.051223431,-0.003141269,,,,
0.011333333,-0.036517204,0.09546281,0.011369061,-0.039588574,0.095702758,,,,
0.011666667,-0.024839853,-0.01820298,-0.003424416,-0.083966654,-0.057634718,,,,
0.012,-0.052871102,0.041000845,0.065805996,-0.054396187,0.05449028,,,,
0.012333333,0.044418011,-0.01820298,0.012941281,0.044505175,-0.042854606,,,,
0.012666667,-0.013197799,0.055839196,0.052609812,-0.067619823,0.013236193,,,,
0.013,0.016400897,0.012941281,0.027765453,0.016473925,0.013236193,,,,
0.013333333,0.046059359,0.039400311,0.069060409,-0.067619823,0.02645903,,,,
0.013666667,-0.024839853,0.011369061,0.026177474,-0.052811411,0.05449028,,,,
0.014,0.047704024,0.069060409,-0.015118283,-0.069188873,-0.01324957,,,,
0.014333333,-0.069175568,-0.043177847,0.011369061,-0.052811411,0.052864715,,,,
0.014666667,-0.108933601,0.069060409,-0.000308289,-0.013182889,0.041281593,,,,
0.015,0.046059359,-0.087475756,-0.044693437,-0.041185881,-0.029603469,,,,
0.015333333,-0.108933601,0.026177474,0.011369061,-0.024766011,0.067685644,,,,
0.015666667,-0.079386762,0.027765453,-0.004977769,-0.094107168,0.028059564,,,,
0.016,0.019630282,0.012941281,0.054222874,-0.123682322,0.056119128,,,,
0.016333333,-0.013197799,-0.015118283,0.009800012,-0.094107168,-0.042854606,,,,
0.016666667,-0.052871102,-0.003424416,-0.015118283,-0.067619823,0.052864715,,,,
0.017,-0.052871102,-0.001867926,-0.087475756,-0.069188873,0.042897915,,,,
0.017333333,-0.054411894,0.082268273,0.024592698,-0.094107168,-0.016365696,,,,
0.017666667,-0.123684671,0.011369061,-0.000308289,-0.023149689,0.02645903,,,,
0.018,0.016400897,-0.046205972,0.080626925,0.016473925,-0.059147253,,,,
0.018333333,-0.108933601,-0.031441529,-0.015118283,-0.069188873,-0.003141269,,,,
0.018666667,-0.052871102,-0.000308289,0.055839196,-0.041185881,0.024861723,,,,
0.019,-0.052871102,-0.074208964,0.011369061,-0.024766011,0.013236193,,,,
0.019333333,-0.136964851,0.024592698,0.011369061,-0.023149689,0.042897915,,,,
