Test,Sample1,Sample2,Sample3,theta=90,t1=0.25mm,t2=0.75mm,H=18mm,R=10mm,flow=0.3ml/min
dv (ml),p (kpa),p (kpa),p (kpa),,,,,,
0,-0.038741278,-0.083966654,0.045444069,,,,,,
0.000166667,-0.012900741,-0.055977769,0.086371552,,,,,,
0.000333333,0.019544674,0.017321221,0.015132737,,,,,,
0.0005,-0.00851489,-0.038741278,0.015132737,,,,,,
0.000666667,0.034694958,0.017321221,-0.038734623,,,,,,
0.000833333,-0.094803777,0.015102251,0.040888501,,,,,,
0.001,0.015102251,-0.053831608,-0.068961011,,,,,,
0.001166667,-0.064634017,-0.038741278,-0.012898512,,,,,,
0.001333333,0.045352471,-0.053831608,-0.043120474,,,,,,
0.0015,0.015102251,-0.00851489,-0.012898512,,,,,,
0.001666667,-0.00851489,-0.096909717,-0.068961011,,,,,,
0.001833333,-0.064634017,-0.036574454,0.086371552,,,,,,
0.002,-0.038741278,-0.096909717,-0.012898512,,,,,,
0.002166667,-0.055977769,-0.150866275,-0.038734623,,,,,,
0.002333333,0.017321221,-0.068906725,-0.038734623,,,,,,
0.0025,-0.027988885,-0.038741278,0.071195236,,,,,,
0.002666667,-0.036574454,0.017321221,-0.038734623,,,,,,
0.002833333,-0.010710028,-0.027988885,0.06062271,,,,,,
0.003,0.034694958,-0.137882948,-0.040929761,,,,,,
0.003166667,-0.092693581,-0.092693581,-0.023598518,,,,,,
0.003333333,-0.00851489,-0.023635713,-0.012898512,,,,,,
0.0035,-0.040903733,-0.023635713,-0.012898512,,,,,,
0.003666667,0.045352471,-0.038741278,0.071195236,,,,,,
0.003833333,-0.00851489,0.006621215,-0.040929761,,,,,,
0.004,0.004409687,-0.055977769,-0.068961011,,,,,,
0.004166667,-0.038741278,-0.027988885,-0.012898512,,,,,,
0.004333333,0.045352471,-0.068906725,0.017384505,,,,,,
0.0045,-0.081848721,-0.077600013,0.071195236,,,,,,
0.004666667,-0.068906725,-0.081848721,-0.043120474,,,,,,
0.004833333,0.015102251,-0.096909717,-0.012898512,,,,,,
0.005,0.017321221,-0.025814494,-0.015117482,,,,,,
0.005166667,-0.066772527,-0.066772527,-0.012898512,,,,,,
0.005333333,-0.083966654,-0.083966654,0.012885509,,,,,,
