dv (ml),p1 (kpa),p2 (kpa),p3(kpa)
0,-0.260649777,-0.328767349,-0.520313733
0.004444444,0.130324889,-0.130522252,-0.5233344
0.008888889,-0.260649777,-0.460598008,-0.455808917
0.013333333,0.258750274,-0.068117572,-0.5233344
0.017777778,0.130324889,-0.198442461,-0.653659289
0.022222222,0.001640319,-0.005901332,-0.002034846
0.026666667,-0.260649777,-0.460598008,-0.066213241
0.031111111,0.452994138,-0.005901332,-0.52182559
0.035555556,-0.262024304,-0.522089007,-0.132359734
0.04,0.130324889,-0.198442461,-0.5233344
0.044444444,-0.128816079,-0.327127031,-0.460527858
0.048888889,-0.130324889,-0.330404364,-0.458958048
0.053333333,-0.062799406,-0.134197419,-0.455808917
0.057777778,0.262553114,-0.198442461,-0.394646526
0.062222222,-0.260649777,-0.198442461,0.258614931
0.066666667,0.262553114,-0.198442461,-0.002034846
0.071111111,0.390974666,-0.588039826,-0.004065593
0.075555556,0,-0.198442461,-0.586331169
0.08,0,-0.198442461,-0.132359734
0.084444444,0.062609774,-0.070017075,-0.330399737
0.088888889,0.066015051,0.062207316,-0.004065593
0.093333333,0.19456993,0.062207316,-0.394646526
0.097777778,-0.130324889,-0.460598008,-0.393009511
0.102222222,0.130324889,-0.070017075,-0.194764414
0.106666667,0.521299554,-0.198442461,-0.586331169
0.111111111,0.130324889,-0.330404364,-0.194764414
0.115555556,-0.062799406,-0.391566755,-0.5233344
0.12,0.393009511,-0.330404364,-0.194764414
0.124444444,0.001640319,-0.328767349,-0.783984177
0.128888889,0.322866017,-0.330404364,-0.326994461
0.133333333,0.390974666,-0.194895226,0.128290043
0.137777778,-0.260649777,0.062207316,-0.064242162
0.142222222,-0.131830659,0.058149908,-0.52182559
0.146666667,0.062609774,-0.262752299,-0.391369193
0.151111111,-0.389728874,-0.459092238,-0.262684623
0.155555556,0,-0.070017075,-0.586331169
0.16,0.262553114,-0.330404364,-0.194764414
0.164444444,0.258750274,-0.459092238,-0.134259237
0.168888889,-0.130324889,-0.460598008,-0.002034846
0.173333333,-0.001637015,-0.393142909,-0.457385071
0.177777778,0.390974666,-0.266157575,-0.653659289
0.182222222,0,-0.134197419,-0.718166291
0.186666667,0.258750274,-0.328767349,-0.325286666
0.191111111,-0.064375559,-0.522089007,-0.264452882
0.195555556,0,-0.328767349,-0.134259237
0.2,0.067722846,-0.066214235,-0.070143494
0.204444444,0.326796271,-0.20021072,-0.393009511
0.208888889,-0.390974666,-0.198442461,-0.262684623
0.213333333,-0.064375559,-0.396285696,-0.264452882
0.217777778,0.066015051,0.062207316,-0.52182559
0.222222222,0.260649777,-0.393142909,-0.194764414
0.226666667,0.003283951,-0.459092238,-0.716853421
0.231111111,-0.130324889,-0.590791653,-0.262684623
0.235555556,0.132096716,-0.261044503,-0.264452882
0.24,0.262553114,-0.328767349,-0.455808917
0.244444444,0.459289601,-0.266157575,-0.394646526
0.248888889,0.258750274,-0.523533518,-0.264452882
0.253333333,0.001640319,-0.20021072,-0.136154919
0.257777778,-0.193321658,-0.328767349,-0.460527858
0.262222222,0.130324889,-0.459092238,-0.264452882
0.266666667,0.130324889,-0.718496224,-0.655033815
0.271111111,0.386917257,-0.393142909,-0.586331169
0.275555556,0.130324889,-0.459092238,-0.718166291
0.28,0.521299554,-0.132361689,-0.524840171
0.284444444,0.262553114,-0.328767349,-0.5233344
0.288888889,0.192737896,-0.396285696,-0.325286666
0.293333333,0.130324889,-0.589417126,-0.264452882
0.297777778,0.130324889,-0.459092238,-0.458958048
0.302222222,-0.131830659,-0.198442461,-0.002034846
0.306666667,-0.130324889,-0.588039826,-0.325286666
0.311111111,-0.260649777,-0.459092238,-0.586331169
0.315555556,-0.193321658,-0.589417126,-0.59065598
0.32,-0.262024304,-0.20021072,-0.132359734
0.324444444,-0.130324889,-0.198442461,-0.393009511
0.328888889,-0.194766169,-0.393142909,-0.325286666
0.333333333,-0.130324889,-0.589417126,-0.914309066
0.337777778,0.12855663,-0.198442461,-0.5233344
0.342222222,0.064310697,-0.523533518,-0.716853421
0.346666667,-0.067518347,-0.266157575,-0.5233344
0.351111111,-0.193321658,-0.586659743,-0.5233344
0.355555556,-0.259272477,-0.136029454,-0.5233344
0.36,0.260649777,-0.261044503,-0.653659289
0.364444444,-0.001637015,-0.393142909,-0.847375673
0.368888889,-0.130324889,-0.524975119,-0.393009511
0.373333333,0.256854593,-0.266157575,-0.716853421
0.377777778,0.064310697,-0.001971079,-0.785227459
0.382222222,-0.130324889,-0.522089007,-0.783984177
0.386666667,-0.193321658,-0.330404364,-0.260912795
0.391111111,0,-0.068117572,-0.264452882
0.395555556,-0.067518347,-0.459092238,-0.653659289
0.4,-0.194766169,-0.586659743,-0.455808917
0.404444444,-0.260649777,-0.588039826,-0.586331169
0.408888889,0.064310697,-0.20021072,-0.330399737
0.413333333,-0.130324889,-0.391566755,0.06628009
0.417777778,-0.323843909,-0.327127031,-0.262684623
0.422222222,0.390974666,-0.327127031,-0.653659289
0.426666667,-0.390974666,-0.589417126,-0.393009511
0.431111111,0.067722846,-0.459092238,-0.393009511
0.435555556,0.262553114,-0.132361689,-0.260912795
0.44,-0.067518347,-0.459092238,-0.393009511
0.444444444,0,-0.78313351,-0.132359734
0.448888889,-0.260649777,-0.068117572,-0.524840171
0.453333333,-0.392217948,-0.784314738,-0.524840171
0.457777778,0.064310697,-0.459092238,-0.524840171
0.462222222,0.001640319,-0.590791653,-0.326994461
0.466666667,-0.197646468,-0.328767349,0.126128051
0.471111111,-0.323843909,-0.456071571,-0.848556901
0.475555556,0,-0.266157575,-0.719476515
0.48,-0.260649777,-0.261044503,-0.132359734
0.484444444,-0.390974666,-0.522089007,-0.325286666
0.488888889,-0.130324889,-0.261044503,-0.393009511
0.493333333,-0.130324889,-0.850066903,-0.134259237
0.497777778,0,-0.396285696,-0.652281988
0.502222222,-0.130324889,-0.459092238,-0.524840171
0.506666667,-0.521299554,-0.719742015,-0.070143494
0.511111111,-0.128816079,-0.78313351,-0.200271616
0.515555556,-0.130324889,-0.132361689,-0.200271616
0.52,-0.323843909,-0.720985297,-0.524840171
