dV/V0,beta1(deg),beta2(deg),beta3(deg)
0,0,0,0
0.002022222,0,0,0.00665616
0.004044444,0,0,0.006804847
0.006066667,0,0,0.020123147
0.008088889,0,0,0.013762281
0.010111111,0,0,0.013762281
0.012133333,0.024853625,0,0.013762281
0.014155556,0.024853625,0.026784514,0.013762281
0.016177778,0.024853625,0.064918252,0.013612752
0.0182,0.024853625,0.148263618,0.013612752
0.020222222,0.024853625,0.201033367,0.052674603
0.022244444,0.024853625,0.204968313,0.046164381
0.024266667,0.024853625,0.255181059,0.040874985
0.026288889,0.024853625,0.371819513,0.04209807
0.028311111,0.024853625,0.415430128,0.059958663
0.030333333,0.024853625,0.449924684,0.079186013
0.032355556,0.024853625,0.490196664,0.145623484
0.034377778,0.024853625,0.512739231,0.157828609
0.0364,0.024853625,0.54691674,0.215245938
0.038422222,0.036366723,0.554687595,0.28503437
0.040444444,0.1201063,0.612405037,0.29099273
0.042466667,0.114548947,0.670066127,0.353420914
0.044488889,0.12762809,0.677468298,0.363607043
0.046511111,0.170235548,0.724390627,0.44932769
0.048533333,0.356684909,0.719488919,0.45371512
0.050555556,0.236180952,0.803465745,0.463744125
0.052577778,0.283780639,0.836027346,0.508293615
0.0546,0.346680511,0.903395083,0.522344515
0.056622222,0.387729591,0.917148522,0.572938698
0.058644444,0.47753796,0.961550162,0.616109308
0.060666667,0.483143108,0.991521157,0.620221775
0.062688889,0.546991546,1.006324413,0.613275343
0.064711111,0.597091876,1.066658873,0.686458998
0.066733333,0.634018325,1.108392152,0.70531631
0.068755556,0.641649913,1.129017075,0.743223396
0.070777778,0.628961237,1.219857559,0.80125828
0.0728,0.634018325,1.219857559,0.802030218
0.074822222,0.659073511,1.177965087,0.87962677
0.076844444,0.665834092,1.267455337,0.924913607
0.078866667,0.728103609,1.258612724,0.9191657
0.080888889,0.796155957,1.261332679,0.996462342
0.082911111,0.836926081,1.280823751,1.011309582
0.084933333,0.8976884,1.299721595,1.075047235
0.086955556,0.949316402,1.363318036,1.064187701
0.088977778,0.961157012,1.461231577,1.122231932
0.091,0.981561509,1.482511532,1.19439294
0.093022222,1.043595524,1.536727729,1.206556528
0.095044444,1.128673939,1.551691681,1.223495075
0.097066667,1.128110522,1.639229277,1.310367842
0.099088889,1.185546108,1.640051633,1.364530254
0.101111111,1.208708438,1.695089908,1.364530254
0.103133333,1.157831946,1.743033475,1.394862987
0.105155556,1.237338404,1.736179974,1.382839199
0.107177778,1.277589625,1.761164251,1.382839199
0.1092,1.309787972,1.873178376,1.395546392
0.111222222,1.369380661,1.910456545,1.486307717
0.113244444,1.427875239,1.979508567,1.503270832
0.115266667,1.413337929,2.030510912,1.581244498
0.117288889,1.434847804,2.041981113,1.559801757
0.119311111,1.372044114,2.079804201,1.588461607
0.121333333,1.333407225,2.140653856,1.678358304
0.123355556,1.408522653,2.154448187,1.694749453
0.125377778,1.46542969,2.195755585,1.743309421
0.1274,1.584905626,2.274787095,1.859446582
0.129422222,1.518172799,2.372248835,1.893391949
0.131444444,1.442903784,2.493914033,1.934307941
0.133466667,1.654598689,2.4969626,1.97337153
0.135488889,1.575894352,2.571503192,1.991918858
0.137511111,1.743794758,2.602232951,2.049964555
0.139533333,1.799255469,2.672169457,2.084035029
0.141555556,1.835392935,2.736368949,2.162732944
0.143577778,1.821953816,2.779950655,2.182450802
0.1456,1.875878122,2.836637433,2.274381702
0.147622222,1.955032992,2.88708012,2.334092711
