Test ,2folds_sample2_20220701_1753,2folds_sample2_20220701_1747,2folds_sample2_20220701_1743,2folds_sample1_20220701_1737,2folds_sample1_20220701_1723,2folds_sample0_20220701_1719,2folds_sample0_20220701_1713
dV (ml),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa),P (kpa)
0,-0.457911372,0.260649777,-0.454758733,-0.127372491,-0.196798666,0.200012331,-0.388539588
0.005,-0.330276128,-0.194043234,0.197194317,-0.063654145,-0.390974666,4.61E-01,-0.194171727
0.01,-0.197130152,-0.191150663,-0.063586903,-0.388153711,-0.258088895,4.64E-01,-0.71875838
0.015,-0.455282085,-0.060628411,0.070091204,-0.063654145,0.327387763,2.64E-01,-0.063649475
0.02,-0.327520762,-0.191150663,-0.393792878,-0.324303923,0.260649777,2.00E-01,-0.133543316
0.025,-0.588301982,-0.191150663,0.066803707,0.193783687,-1.94E-01,0.130193644,-0.9795396
0.03,-0.327520762,-0.454824454,-0.324368123,-0.127372491,1.36E-01,0.263599234,-1.238349741
0.035,0.003093154,-0.063652624,-0.327254865,0.072850816,0.127375432,-0.063655631,-1.238349741
0.04,-0.063715329,-0.26346799,-0.454758733,0.006042332,-0.390974666,-0.193914865,-1.368871993
0.045,0.194041677,-0.32718921,0.066803707,0.063590042,0,0.327122069,-0.84914899
0.05,-0.127495018,0.127112943,0.066803707,0.072850816,-0.066539433,0.139454418,-1.04148045
0.055,-0.136361264,-0.130324889,-0.193977513,-0.127372491,0.196997153,0,-0.915492647
0.06,-0.266554908,0.327519206,-0.454758733,0.066670743,-0.191545389,0.069621721,-1.112028693
0.065,-0.460535362,0.066737986,-0.060431048,-0.454628811,-0.130324889,0.200012331,-1.04148045
0.07,-0.649847707,-0.063652624,0.060248568,0.006042332,-0.194174677,-0.646377122,-1.24032082
0.075,-0.590794595,0.069893841,-0.324368123,0.136564584,-0.127632497,-0.582331329,-0.9795396
0.08,-0.263736695,-0.321672915,-0.124144816,0.133408729,-0.063784067,-1.234284378,-1.306467313
0.085,-0.849083202,0.069893841,-0.193977513,-0.454628811,0.127375432,-1.625456208,-1.112028693
0.09,-0.457911372,-0.390974666,-0.324368123,-0.257763101,-0.127632497,-0.975470265,-1.10993021
0.095,-0.91752313,-0.194043234,-0.457514099,0.003018119,-0.260649777,-1.235988732,-1.568754105
0.1,-1.302788569,-0.194043234,0,-0.648934931,0.200021366,-0.843112548,-1.502806393
0.105,-1.107893343,-0.715605674,-0.582520055,-0.7815554,-0.324565287,-0.579965324,-1.370711429
0.11,-0.716326588,-0.651624443,-1.106711782,-0.321611531,0.136241678,-0.843112548,-1.501102039
0.115,-1.041612224,-0.26346799,-0.324368123,-0.648934931,-0.133011857,-1.166427306,-1.56711709
0.12,-1.499460098,-0.91227422,-0.651624443,-0.326990891,-0.260649777,-1.102054331,-1.568754105
0.125,-0.524386473,-0.71323967,-0.585149343,-0.521036934,-0.910370883,-0.973503158,-1.761883259
0.13,-0.91752313,-0.715605674,-0.451997803,-0.648934931,-1.370570465,-1.171742799,-1.56711709
0.135,-0.849083202,-1.106777504,-0.781949331,-0.580090046,-1.889252606,-0.781161866,-1.568754105
0.14,-1.045686027,-0.260649777,-1.0447611,-0.909716151,-1.822580908,-1.039649652,-1.436792201
0.145,-0.981572295,-0.587707677,-0.914567456,-0.648934931,-1.303248886,-1.366247965,-1.633065626
0.15,-1.240255032,-0.907937134,-1.108810266,-0.58737818,-1.174561012,-1.103893768,-1.568754105
0.155,-1.62998235,-0.907937134,-0.715539952,-0.779325541,-1.106908946,-1.430624317,-1.89489168
0.16,-1.370645642,-1.042599108,-1.497883612,-0.5849537,-1.430816391,-1.041549155,-1.633065626
0.165,-1.109864422,-1.106777504,-1.365653565,-1.04010676,-1.561404563,-1.495065598,-1.631492649
0.17,-1.501036252,-1.044629856,-1.108810266,-1.04010676,-1.237299556,-0.97153208,-1.893584093
0.175,-1.568491352,-1.042599108,-1.0447611,-1.04010676,-1.367690166,-1.166427306,-2.152005503
0.18,-1.502609229,-0.978485377,-1.0447611,-1.236578142,-1.042599108,-1.559571906,-1.955597656
0.185,-1.306335804,-1.17102066,-1.430026539,-1.30088798,-1.367690166,-1.301936444,-2.478671555
0.19,-1.566985581,-0.976386894,-1.237102392,-0.779325541,-1.694223551,-1.366247965,-2.021483251
0.195,-1.238415595,-1.239003844,-1.367493002,-0.847765468,-1.629650234,-1.562323732,-2.153055089
0.2,-1.698684996,-1.237168114,-1.367493002,-1.49571911,-1.561404563,-1.692517377,-2.086185829
0.205,-1.308104063,-1.1748235,-1.565535677,-1.299180185,-1.954873328,-1.235988732,-2.088416644
0.21,-1.438297707,-1.433573774,-1.75722032,-1.238346401,-1.758861996,-1.366247965,-2.413836309
0.215,-1.695933169,-1.1748235,-1.953627537,-1.17049737,-1.628471386,-1.755846818,-2.477950346
0.22,-1.436660692,-1.299701651,-1.629847199,-1.36361908,-2.150033826,-1.300299429,-2.153055089
0.225,-1.501036252,-1.367558724,-1.628274222,-1.69205981,-2.344933597,-1.75466559,-2.54488026
0.23,-1.761817472,-1.629781544,-1.628274222,-1.626175508,-2.214345425,-1.951923872,-2.282527755
0.235,-1.892208081,-1.629781544,-1.821791057,-1.366903031,-2.020427934,-1.755846818,-2.282527755
0.24,-1.959072285,-1.497949333,-1.499587966,-1.494207252,-1.758861996,-2.015710094,-2.413836309
0.245,-1.891026854,-1.757417684,-1.626698069,-1.821269192,-2.345847994,-2.146232345,-2.67409451
0.25,-1.892208081,-1.628339943,-1.497883612,-1.5616692,-2.280424436,-2.017544132,-2.415404165
0.255,-2.413770521,-1.431933456,-1.694223551,-1.693370034,-2.216110167,-1.821598983,-2.349915971
0.26,-1.826389567,-1.823302648,-2.280227272,-1.563110801,-2.410815046,-2.016628038,-2.544226919
0.265,-2.348934912,-2.474995202,-1.758664832,-1.889314623,-2.671596266,-1.951923872,-2.284361794
0.27,-2.021549105,-2.018462187,-1.497883612,-1.560224689,-2.085198217,-2.276754597,-2.73912669
0.275,-2.022598691,-2.214671841,-2.410617882,-1.560224689,-2.476497456,-1.755846818,-2.675139494
0.28,-2.088285135,-1.691466168,-2.149836662,-2.082313696,-2.410815046,-2.213291954,-2.740041087
0.285,-2.218610024,-1.889121163,-2.280227272,-2.082313696,-2.279901417,-2.08224876,-2.544226919
0.29,-2.284164629,-2.150818478,-2.149836662,-1.888202585,-2.476172883,-2.277409258,-2.805008139
0.295,-2.087302362,-2.541074213,-2.476172883,-2.147148114,-2.541205656,-2.015710094,-2.283445699
0.3,-2.413770521,-1.890300011,-2.410617882,-1.95284103,-2.280424436,-1.885187842,-2.47939131
0.305,-2.022598691,-2.216372655,-2.541008492,-1.69205981,-2.476497456,-2.407799868,-2.544226919
