test,1,2,3,4,R=8mm,H=20mm,t=0.5mm
dv (ml),p (kpa),p,p,p,,,
0,-0.19313143,-0.19633908,-0.520646345,0.066538667,,,
0.002222222,0.003142788,-0.066079847,-0.129474515,-0.326073072,,,
0.004444444,0.265763445,0,0.132356291,0.129344095,,,
0.006666667,-0.064312312,-0.260649777,0.194833111,0.458105422,,,
0.008888889,0.326268621,-0.132093148,-0.325941466,-0.00084955,,,
0.011111111,0.326268621,0.130324889,-0.259210465,-0.131043194,,,
0.013333333,-0.059785874,0,0.198175965,0.196011332,,,
0.015555556,0.262088277,0.390974666,-0.064704628,0.262880593,,,
0.017777778,0.069158666,0.390974666,0.194833111,0.066538667,,,
0.02,-0.194505956,0.19443862,-0.193588552,0.065620722,,,
0.022222222,0.004718941,0.130324889,-0.065554178,0.129344095,,,
0.024444444,-0.127247822,-0.260649777,-0.065554178,-0.131043194,,,
0.026666667,0.135241193,0.066146493,-0.064704628,-0.325028088,,,
0.028888889,-0.451550391,-0.126777654,0.064639467,-0.130324889,,,
0.031111111,-0.324699601,-0.067911881,0,0.390974666,,,
0.033333333,-0.064312312,-0.260649777,-0.065554178,0.260649777,,,
0.035555556,0.328168124,-0.262286792,-0.325354405,-0.00084955,,,
0.037777778,0.067518347,0,-0.325941466,0,,,
0.04,-0.061297732,0.066146493,-0.325354405,0.259537739,,,
0.042222222,-0.258948656,-0.132093148,0.195945149,-0.00084955,,,
0.044444444,0.067518347,0.130324889,-0.064704628,-0.195813839,,,
0.046666667,-0.190374047,-0.06240468,-0.194309761,0.000851264,,,
0.048888889,-0.127247822,-0.130324889,-0.195747822,-0.131043194,,,
0.051111111,0.065881332,0,0.001834039,-0.131043194,,,
0.053333333,0.004718941,0.068117572,-0.129474515,-0.325551107,,,
0.055555556,0.003142788,-0.390974666,0.261697314,-0.131043194,,,
0.057777778,-0.323456319,-0.130324889,-0.325941466,0.259537739,,,
0.06,0.067518347,0.130324889,0.001834039,0,,,
0.062222222,0.328168124,-0.456857547,0.066603034,-0.063983585,,,
0.064444444,-0.323456319,-0.066079847,-0.065554178,0.194963861,,,
0.066666667,-0.19313143,-0.453971435,-0.195029516,-0.063983585,,,
0.068888889,0.260256243,-0.584493687,-0.259865125,-0.128883924,,,
0.071111111,-0.388029042,-0.715015938,-0.586004182,-0.194505837,,,
0.073333333,0.197843236,-0.392480436,-0.063853364,-0.063983585,,,
0.075555556,0.328168124,-0.455415946,-0.128688213,-0.261236838,,,
0.077777778,-0.064312312,-0.126777654,-0.325354405,0.390974666,,,
0.08,0.133533398,-0.130324889,-0.911818175,-0.260649777,,,
0.082222222,0.004718941,-0.192926931,-0.194309761,0.260649777,,,
0.084444444,-0.19313143,-0.453971435,-0.781427565,-0.196465865,,,
0.086666667,0.003142788,-0.390974666,-0.846653959,-0.128883924,,,
0.088888889,-0.064312312,-0.194634726,-0.65077722,-0.455941717,,,
0.091111111,0.197843236,-0.717376014,-0.586004182,-0.455941717,,,
0.093333333,-0.257638432,-0.651624443,-0.781427565,-0.455941717,,,
0.095555556,-0.19313143,-0.585806556,-0.586004182,0.066538667,,,
0.097777778,0.065881332,-0.522674081,-0.456135111,0.066538667,,,
0.1,-0.194505956,-0.584493687,-0.716329071,-0.586332327,,,
0.102222222,-0.194505956,-1.172923997,-0.585353069,-0.260649777,,,
0.104444444,-0.453781207,-0.652867725,-0.586328755,-0.325028088,,,
0.106666667,-0.256325562,-0.779718516,-0.455679294,-0.45555034,,,
0.108888889,-0.062806542,-0.651624443,-0.65077722,-0.260649777,,,
0.111111111,-0.583123322,-1.238412947,-0.455679294,-0.260649777,,,
0.113333333,0.069158666,-1.041747844,-0.455679294,-0.586072592,,,
0.115555556,-0.386847814,-0.781949331,-0.716329071,-0.326593987,,,
0.117777778,-0.517370066,-0.651624443,-0.65077722,-0.260649777,,,
0.12,-0.064312312,-0.780835049,-0.846653959,-0.651817771,,,
0.122222222,-0.454893245,-1.172923997,-0.846716044,-0.390974666,,,
0.124444444,-0.061297732,-1.042599108,-0.716329071,-0.261236838,,,
0.126666667,-0.194505956,-0.976060442,-0.65077722,-0.847113547,,,
0.128888889,-0.323456319,-1.303835947,-0.586004182,-0.521299554,,,
0.131111111,-0.58508689,-1.303248886,-0.716522399,-0.651817771,,,
0.133333333,-0.453781207,-1.6286717,-0.846716044,-0.520648441,,,
0.135555556,-0.323456319,-0.91227422,-0.716329071,-0.91227422,,,
0.137777778,-0.778414569,-1.303248886,-0.586328755,-0.45555034,,,
0.14,-0.453781207,-1.564223236,-0.65077722,-0.521299554,,,
0.142222222,-0.388029042,-1.564223236,-1.237628625,-0.847110006,,,
0.144444444,-0.647892318,-1.889712656,-0.716522399,-0.716722937,,,
0.146666667,-0.975080761,-1.434029591,-0.65077722,-0.521299554,,,
0.148888889,-0.58508689,-1.433573774,-0.976978848,-0.586591539,,,
0.151111111,-0.714430984,-1.69441688,-0.716329071,-0.651817771,,,
0.153333333,-0.844755873,-1.498540826,-1.367490621,-0.390974666,,,
0.155555556,-0.647892318,-1.889712656,-0.976909688,-0.977639347,,,
0.157777778,-0.77998559,-1.6286717,-0.976909688,-0.847110006,,,
0.16,-0.647892318,-1.173642302,-0.586004182,-0.586072592,,,
0.162222222,-1.039459073,-1.889712656,-1.107504545,-1.173256314,,,
0.164444444,-1.170372702,-1.889712656,-0.846716044,-0.912412958,,,
0.166666667,-1.17076329,-1.759449881,-0.977117586,-0.847113547,,,
0.168888889,-0.910896849,-1.889712656,-0.586004182,-0.782011416,,,
0.171111111,-1.10540565,-1.303835947,-0.586328755,-0.455941717,,,
0.173333333,-0.844755873,-1.694223551,-0.520254968,-1.172923997,,,
0.175555556,-0.844755873,-1.498149449,-0.846653959,-1.172923997,,,
0.177777778,-1.039459073,-2.019968348,-0.911818175,-0.847113547,,,
0.18,-1.10540565,-1.433573774,-0.65077722,-1.172923997,,,
0.182222222,-1.10540565,-1.889712656,-0.846653959,-0.651624443,,,
0.184444444,-0.908936821,-1.564223236,-0.781427565,-0.651624443,,,
0.186666667,-1.49625577,-1.889716204,-1.107705759,-0.977504157,,,
0.188888889,-1.105861467,-1.694223551,-1.107705759,-0.521624127,,,
0.191111111,-1.10540565,-1.563573435,-0.781427565,-0.977369239,,,
0.193333333,-1.431153921,-1.564223236,-0.781682978,-0.781949331,,,
0.195555556,-1.17076329,-1.82454844,-0.911821723,-0.716722937,,,
0.197777778,-1.169981325,-1.564223236,-0.846716044,-0.91227422,,,
