test,sample1,sample1,sample1,sample2,sample2,sample2,sample3,sample3,R=10mm,H=26.7mm,t=0.56mm
dv (ml),p (kpa),p2,p3,p1,p2,p3,p2,p3,,,
0,0.193256827,-0.256379277,-0.067325082,-0.188999319,-0.52156244,0.390974666,0.525561453,0.130324889,,,
0.004444444,0.390974666,-0.058457416,0.071926468,-0.117526573,-0.202375918,0,0.264911676,0.125800502,,,
0.008888889,0.265183295,0.134989916,0.255801967,0.274040183,-0.386831199,-0.319304556,0.336976511,0.130324889,,,
0.013333333,-0.260649777,0.130324889,-0.193256827,-0.188999319,-0.269698756,-0.260649777,0.269445194,-0.390974666,,,
0.017777778,0,-0.201975347,-0.062931939,0.201975347,-0.197851531,0,0.520774577,0.390974666,,,
0.022222222,0.260649777,-0.06739295,-0.004454276,0.008655048,-0.125786695,0.125538013,0,0.130324889,,,
0.026666667,0.458501308,-0.256379277,0,-0.062936329,-0.125786695,0,-0.121923999,-0.058654779,,,
0.031111111,-0.130324889,0,0.328042727,-0.062936329,-0.009442514,-0.260649777,0.134586787,0.521299554,,,
0.035555556,0.521299554,-0.130324889,-0.062931939,0.274040183,-0.125786695,0.20278445,0.264911676,0,,,
0.04,-0.058852143,0.130324889,-0.323581716,0.012995679,-0.588826196,-0.130324889,0.264911676,-0.134586787,,,
0.044444444,0.521299554,0,0.202382865,0.071650458,-0.197851531,0,0.655886341,0.125800502,,,
0.048888889,-0.06726164,-0.390974666,0.193062207,-0.180712976,0.067594782,0,0.264911676,0.130324889,,,
0.053333333,0.25612539,-0.058457416,-0.062931939,-0.062936329,-0.26078122,0.130324889,0.525561453,0.130324889,,,
0.057777778,0.130324889,-0.256379277,-0.05852993,-0.184860328,0,-0.134849276,0.134586787,0.260649777,,,
0.062222222,-0.004261899,0.004533518,-0.382631222,-0.188999319,-0.386831199,0.390974666,0.453320693,-0.058654779,,,
0.066666667,0.521299554,-0.130324889,-0.188986327,-0.05440393,-0.125786695,-0.125791371,0.264911676,0.202389724,,,
0.071111111,-0.126185898,-0.130324889,0.197717838,0.332300236,-0.65195305,0,-0.12606299,0.318733906,,,
0.075555556,0.05867443,-0.31950192,-0.260518467,0.336965263,0.193123135,0.125538013,0.264911676,-0.130324889,,,
0.08,0,0.125669257,-0.323581716,-0.05867443,-0.525762947,-0.125791371,-0.121923999,0.255994146,,,
0.084444444,0,-0.264911676,0.328042727,-0.05867443,-0.719151085,0.18821225,0.134586787,-0.134586787,,,
0.088888889,0.25612539,0.130324889,0.071926468,-0.248048824,-0.197851531,-0.193254578,-0.12606299,-0.004393143,,,
0.093333333,-0.521299554,-0.592359711,0.197717838,0.134582397,-0.462763206,0.130324889,0.004261899,-0.130324889,,,
0.097777778,-0.130324889,0,-0.256317959,0.336965263,-0.719151085,0.130324889,0,0.260649777,,,
0.102222222,0.260649777,-0.134718031,0.008935534,-0.188999319,-0.193318013,0.072262199,0.20645426,-0.130324889,,,
0.106666667,-0.264649187,-0.130324889,-0.193256827,0.071650458,-0.91273427,-0.260649777,0.323192571,-0.004393143,,,
0.111111111,-0.256642295,-0.332103468,-0.32771237,-0.05867443,0,-0.188782305,0,-0.319699283,,,
0.115555556,0.188802551,-0.521299554,-0.134582397,-0.315316726,-0.197851531,-0.072043993,0.264911676,0,,,
0.12,0.008549627,0.130324889,-0.323581716,0.143517931,-0.588826196,-0.390974666,-0.067191793,0.125800502,,,
0.124444444,0.134726897,-0.193320299,0.06739295,-0.188999319,-0.202375918,-0.458236305,0.395236564,-0.071650458,,,
0.128888889,-0.189374394,0,-0.121586718,0.134582397,-0.454230808,0.067526642,-0.12606299,0.260649777,,,
0.133333333,-0.004261899,-0.188979668,-0.004454276,0.201975347,-0.529954999,0,0.264911676,0.260649777,,,
0.137777778,0,-0.12592288,-0.323581716,0.012995679,0.062798246,-0.390974666,0.395236564,-0.394974076,,,
0.142222222,-0.130324889,-0.264911676,-0.25210897,-0.05867443,-0.458501308,0.20278445,0.395236564,-0.32377663,,,
0.146666667,0.130324889,-0.201975347,-0.517099179,-0.05440393,-0.462763206,-0.26504292,0.395236564,0.260649777,,,
0.151111111,0.386319035,-0.46223159,-0.193256827,-0.05867443,-0.067526642,0,0.395236564,-0.394974076,,,
0.155555556,-0.260649777,-0.521299554,-0.457906015,0.071650458,-0.584687206,-0.004655631,-0.315634747,-0.390974666,,,
0.16,0.130324889,-0.580546423,-0.524966761,-0.382516782,-0.723150495,-0.130324889,0.004261899,-0.32377663,,,
0.164444444,-0.256642295,-0.580546423,-0.323581716,-0.319324207,-0.723150495,0,0.395236564,-0.450221535,,,
0.168888889,-0.580941149,-0.390974666,-0.323581716,-0.05867443,-0.584687206,0.260649777,-0.252380397,-0.32377663,,,
0.173333333,-0.134455543,-0.201975347,-0.978680592,-0.05867443,-0.592956851,-0.125791371,-0.054590244,-0.260649777,,,
0.177777778,-0.390974666,-0.651624443,-1.038661619,0.201975347,-0.197851531,-0.260649777,-0.386712767,-0.781949331,,,
0.182222222,0,-0.260649777,-0.58035552,-0.378571076,-0.197851531,-0.395236564,0.138988796,-0.319699283,,,
0.186666667,-0.521299554,-0.390974666,-0.323581716,-0.378571076,-0.85334414,0.260649777,-0.390580933,-0.130324889,,,
0.191111111,-0.126185898,-0.651624443,-0.453906604,-0.572477493,-0.52156244,0,-0.058799233,-0.711266038,,,
0.195555556,-0.778467886,-0.979207584,-0.84488127,-0.378571076,-0.849475974,-0.193254578,-0.185112496,-0.84178829,,,
0.2,-0.785423765,-0.390974666,-0.975206159,-0.378571076,-0.849475974,-0.323645188,-0.185112496,-0.781949331,,,
0.204444444,-0.778467886,-0.841590927,-0.971724713,-0.319324207,-1.039442457,-0.651624443,-0.710752283,-0.655361365,,,
0.208888889,-0.651624443,-0.972113178,-0.323581716,-0.256195303,-0.920339363,-0.525430209,-0.520774577,-0.331906701,,,
0.213333333,-0.390974666,-0.651624443,-0.655094883,-0.248048824,-0.85334414,-0.390974666,-0.457576157,-0.655361365,,,
0.217777778,-0.130324889,-0.91227422,-0.84488127,0,-1.106512796,-0.202172114,-0.197319914,-0.651624443,,,
0.222222222,-0.197520873,-0.711068675,-0.978680592,-0.05867443,-0.979800862,-0.319304556,-0.058799233,-0.588364228,,,
0.226666667,-0.331709934,-1.046073542,-1.235855936,-0.05867443,-0.85334414,-0.655623853,-0.252380397,-0.781949331,,,
0.231111111,-0.91227422,-0.785686253,-1.045479247,-0.449649096,-1.240450639,-0.332300236,-0.650968222,-0.327845761,,,
0.235555556,-0.785423765,-0.908661265,-1.105531047,-0.710298873,-1.364068887,-0.319304556,-0.12606299,-0.781949331,,,
0.24,-0.390974666,-0.84894835,-1.165764732,-0.319324207,-1.236969194,-0.332300236,-0.837723754,-0.848882695,,,
0.244444444,-0.390974666,-0.785686253,-1.03524248,-0.579973984,-1.173515489,-0.904777728,-0.707201503,-0.390974666,,,
0.248888889,-0.781949331,-0.781949331,-1.235855936,-0.449649096,-1.374118717,-0.449826808,-0.517037656,-0.134586787,,,
0.253333333,-1.042599108,-1.303248886,-0.971724713,-0.323323617,-1.110125751,-0.521299554,-0.647362544,-0.517423582,,,
0.257777778,-0.781949331,-0.91227422,-0.84488127,-0.449649096,-1.236969194,-0.462428357,-0.781161866,-0.97572968,,,
0.262222222,-1.172923997,-0.778204868,-1.366180824,-0.449649096,-1.300486961,-0.971915815,-0.781161866,-0.655361365,,,
0.266666667,-1.103030156,-0.781949331,-0.968236234,-0.319324207,-1.243925073,-1.042599108,-0.382836794,-0.651624443,,,
0.271111111,-0.718557807,-0.91227422,-0.84488127,-0.449649096,-1.431009213,-0.714817017,-0.256387879,-0.386967184,,,
0.275555556,-0.461838055,-0.781949331,-0.911814634,-0.579973984,-0.976056399,-1.042599108,-0.781161866,-1.042599108,,,
0.28,-0.778467886,-0.91227422,-1.102181111,-0.840623761,-1.110125751,-0.781949331,-0.908012321,-0.722291065,,,
0.284444444,-0.651624443,-0.588429883,-0.904720228,-0.710298873,-1.169964709,-1.046204786,-0.315634747,-0.655361365,,,
0.288888889,-0.65523012,-1.306460831,-0.904720228,-0.51671377,-1.240450639,-0.781949331,-0.774205987,-0.651624443,,,
0.293333333,-0.521299554,-1.433573774,-1.366180824,-0.509093328,-0.983537784,-0.91227422,-0.837723754,-0.778336377,,,
0.297777778,-0.517555091,-1.042599108,-1.03524248,-0.97094865,-0.983537784,-0.781949331,-0.841142893,-0.58455785,,,
0.302222222,-1.042599108,-0.785686253,-1.105531047,-0.449649096,-0.979800862,-1.042599108,-0.12606299,-0.91227422,,,
0.306666667,-0.521299554,-1.300030458,-1.042073867,-0.97094865,-1.110125751,-0.778073359,-0.576679251,-0.651624443,,,
0.311111111,-1.109335507,-1.112872196,-1.239067881,-0.319324207,-1.501100416,-1.303248886,-0.517037656,-1.172923997,,,
0.315555556,-0.972507905,-1.233157682,-1.302592334,-0.844098195,-1.310723727,-1.433573774,-0.580361673,-0.260649777,,,
0.32,-0.65523012,-0.714882739,-1.105531047,-0.710298873,-0.976056399,-1.306592075,-0.446156999,-0.588364228,,,
0.324444444,-0.648011488,-0.778204868,-1.045479247,-1.101273539,-1.497881989,-1.038986154,-0.315634747,-0.84178829,,,
0.328888889,-0.852222419,-0.908661265,-1.169052229,-0.583710906,-1.303906099,-0.91227422,-0.390580933,-0.651624443,,,
0.333333333,-0.908924284,-1.042599108,-0.718293303,-0.63961558,-1.240450639,-1.042599108,-0.252380397,-0.394974076,,,
0.337777778,-0.711463401,-0.982744075,-1.045479247,-0.579973984,-1.169964709,-1.433573774,-0.513293192,-0.450221535,,,
0.342222222,-0.972507905,-0.718689117,-0.975206159,-0.579973984,-1.106512796,-1.038986154,-0.580361673,-0.521299554,,,
0.346666667,-0.852222419,-1.363679933,-1.296286984,-0.710298873,-1.169964709,-1.232960319,-0.390580933,-0.781949331,,,
0.351111111,-0.84881704,-0.982744075,-0.911814634,-1.101273539,-0.920339363,-1.306592075,-0.446156999,-0.781949331,,,
0.355555556,-0.781949331,-1.039117663,-0.848486948,-0.390384364,-1.240450639,-1.172923997,-0.390580933,-0.785555009,,,
0.36,-0.591966177,-1.23972605,-0.718293303,-0.974291839,-1.240450639,-0.971915815,-0.386712767,-0.390974666,,,
0.364444444,-1.039380681,-1.042599108,-1.105531047,-0.840623761,-1.310723727,-1.433573774,-0.256387879,-0.722291065,,,
0.368888889,-0.781949331,-0.718689117,-0.848486948,-0.188999319,-1.310723727,-1.172923997,-0.386712767,-0.655361365,,,
0.373333333,-0.591966177,-1.176267186,-0.971724713,-0.579973984,-1.106512796,-1.172923997,-0.446156999,-0.458104995,,,
0.377777778,-0.845404791,-0.781949331,-1.03524248,-0.97094865,-1.240450639,-1.232960319,-0.520774577,-0.390974666,,,
0.382222222,-0.972507905,-0.908661265,-1.038661619,-0.97094865,-0.979800862,-1.36348257,-0.587704278,-0.84533907,,,
0.386666667,-1.042599108,-1.169574061,-1.03524248,-0.97094865,-1.504312361,-0.971915815,-0.315634747,-0.52516772,,,
0.391111111,-0.841985653,-0.972113178,-1.03524248,-0.63961558,-1.113731428,-1.172923997,-0.707201503,-0.521299554,,,
0.395555556,-1.109335507,-0.975663959,-0.975206159,-0.770137831,-1.370775528,-1.306592075,-0.64374959,-0.521299554,,,
0.4,-0.841985653,-1.300030458,-1.172333101,-0.97094865,-1.497881989,-1.042599108,-0.770717509,-0.781949331,,,
0.404444444,-1.233552408,-0.972113178,-0.774197977,-0.967598714,-1.300486961,-1.172923997,-0.12606299,-0.521299554,,,
0.408888889,-0.648011488,-1.176267186,-1.302592334,-0.449649096,-1.043124879,-1.035365901,-0.587704278,-0.718623462,,,
0.413333333,-0.781949331,-0.781949331,-1.239067881,-0.710298873,-1.106512796,-1.172923997,-0.382836794,-0.450221535,,,
0.417777778,-0.65523012,-1.10263543,-1.108874236,-0.840623761,-1.501100416,-0.971915815,-0.904662385,-0.781949331,,,
0.422222222,-1.176004698,-1.10263543,-0.84488127,-0.315316726,-1.169964709,-0.982940842,-0.446156999,-0.84178829,,,
0.426666667,-0.722094298,-1.039117663,-1.165764732,-0.773688612,-1.310723727,-0.781949331,-0.647362544,-0.915748653,,,
0.431111111,-0.722094298,-0.781949331,-0.655094883,-0.900660083,-1.501100416,-1.042599108,-0.517037656,-0.260649777,,,
