test,1,2,Test #,0321_1538,0321_1530,0321_1524,0321_1522,0321_1515,FEA,R=8mm,H=20mm,t=0.5mm
dv,p,p,dv,p (kps),p,p (0.7865),p (0.8486),p (1.173),dv,p,,
0,0.196206023,-0.068709662,0,-0.063983576,-0.193124295,-0.062019473,0.198837187,0.260649777,0,0,,
0.002277778,0.328561659,-0.391566755,0.002222222,-0.192144327,0.25861903,0.066143424,0.130324889,-0.323054457,0,-4.31E-07,,
0.004555556,-0.192737896,-0.130522252,0.004444444,-0.844097376,-0.193124295,0.004192742,0.066212215,0.132622752,0,-3.39E-06,,
0.006833333,-0.257113455,-0.263147224,0.006666667,-0.713706766,0.062413007,0.203230674,-0.132224392,-0.19647039,0,-1.74E-05,,
0.009111111,-0.386059553,-0.19903455,0.008888889,-0.384870911,-0.325091058,0.525755182,0.390974666,-0.002161992,0,-0.000075708,,
0.011388889,-0.126722845,0,0.011111111,0.137481778,-0.325091058,-0.06405022,0.198837187,-0.194503284,3.00E-05,-0.000298944,,
0.013666667,-0.064181266,-0.329359439,0.013333333,-0.390580933,-0.196273425,-0.05794567,-0.389334347,-0.521299554,1.00E-04,-0.00111182,,
0.015944444,-0.453387673,-0.132756614,0.015555556,-0.776635429,-0.193124295,0.136817714,0.388550186,-0.256839259,0.00037,-0.00397116,,
0.018222222,-0.323062784,-0.331390186,0.017777778,-0.320563858,0.196471382,0.395364572,-1.238478603,0,0.0013,-0.0137633,,
0.0205,-0.192737896,-0.391566755,0.02,-0.190041606,0,0.267339966,-0.910043404,-0.256839259,0.00441,-0.0463676,,
0.022777778,-0.255537302,-0.19903455,0.022222222,-0.254282739,-0.325091058,0.196337069,0.848555874,-0.194503284,0.01461,-0.150029,,
0.025055556,-0.71403745,-0.523928444,0.024444444,-0.324502043,-0.131961903,-0.256588478,0.585150665,-0.130324889,0.04696,-0.400917,,
0.027333333,-0.255537302,-0.329359439,0.026666667,-0.322534937,0.066080772,-0.059984627,-1.237693885,-0.845143464,0.14526,-0.483088,,
0.029611111,0.067911881,-0.19903455,0.028888889,-0.390580933,-0.649393627,-0.194243864,-0.521299554,-1.694679368,0.31278,-0.517951,,
